region,annee,classe_age,sexe,population,taux_natalite_mille,taux_mortalite_mille,taux_alphabetisation
Adamaoua,2003,35-44,F,82237,0,1,84.3
Adamaoua,2003,45-54,M,47407,0,1,75.1
Adamaoua,2003,45-54,F,49342,0,1,75.0
Adamaoua,2003,55-64,M,31605,0,1,74.5
Adamaoua,2003,55-64,F,32895,0,1,60.7
Adamaoua,2003,65+,M,23703,0,5,70.5
Adamaoua,2003,65+,F,24671,0,5,79.0
Adamaoua,2004,0-14,M,347655,0,2,0.0
Adamaoua,2004,0-14,F,361845,0,2,0.0
Adamaoua,2004,15-24,M,161700,35,1,77.3
Adamaoua,2004,15-24,F,168300,35,1,66.4
Adamaoua,2004,25-34,M,113190,25,1,63.1
Adamaoua,2004,25-34,F,117810,25,1,73.8
Adamaoua,2004,35-44,M,80850,0,1,64.4
Adamaoua,2004,35-44,F,84150,0,1,60.7
Adamaoua,2004,45-54,M,48510,0,1,80.4
Adamaoua,2004,45-54,F,50490,0,1,84.3
Adamaoua,2004,55-64,M,32340,0,1,71.8
Adamaoua,2004,55-64,F,33660,0,1,79.7
Adamaoua,2004,65+,M,24255,0,5,69.3
Adamaoua,2004,65+,F,25245,0,5,71.2
Adamaoua,2005,0-14,M,355556,0,2,0.0
Adamaoua,2005,0-14,F,370068,0,2,0.0
Adamaoua,2005,15-24,M,165375,35,1,77.2
Adamaoua,2005,15-24,F,172125,35,1,81.7
Adamaoua,2005,25-34,M,115762,25,1,64.6
Adamaoua,2005,25-34,F,120487,25,1,72.1
Adamaoua,2005,35-44,M,82687,0,1,82.4
Adamaoua,2005,35-44,F,86062,0,1,60.8
Adamaoua,2005,45-54,M,49612,0,1,60.1
Adamaoua,2005,45-54,F,51637,0,1,72.8
Adamaoua,2005,55-64,M,33075,0,1,75.3
Adamaoua,2005,55-64,F,34425,0,1,72.5
Adamaoua,2005,65+,M,24806,0,5,63.9
Adamaoua,2005,65+,F,25818,0,5,64.9
Adamaoua,2006,0-14,M,363457,0,2,0.0
Adamaoua,2006,0-14,F,378292,0,2,0.0
Adamaoua,2006,15-24,M,169049,35,1,83.8
Adamaoua,2006,15-24,F,175949,35,1,61.5
Adamaoua,2006,25-34,M,118334,25,1,61.0
Adamaoua,2006,25-34,F,123164,25,1,65.4
Adamaoua,2006,35-44,M,84524,0,1,82.2
Adamaoua,2006,35-44,F,87974,0,1,74.7
Adamaoua,2006,45-54,M,50714,0,1,77.4
Adamaoua,2006,45-54,F,52784,0,1,68.9
Adamaoua,2006,55-64,M,33809,0,1,63.7
Adamaoua,2006,55-64,F,35189,0,1,76.2
Adamaoua,2006,65+,M,25357,0,5,68.1
Adamaoua,2006,65+,F,26392,0,5,78.4
Adamaoua,2007,0-14,M,371358,0,2,0.0
Adamaoua,2007,0-14,F,386516,0,2,0.0
Adamaoua,2007,15-24,M,172725,35,1,76.7
Adamaoua,2007,15-24,F,179775,35,1,68.8
Adamaoua,2007,25-34,M,120907,25,1,80.7
Adamaoua,2007,25-34,F,125842,25,1,83.9
Adamaoua,2007,35-44,M,86362,0,1,81.1
Adamaoua,2007,35-44,F,89887,0,1,62.3
Adamaoua,2007,45-54,M,51817,0,1,84.2
Adamaoua,2007,45-54,F,53932,0,1,70.9
Adamaoua,2007,55-64,M,34545,0,1,64.0
Adamaoua,2007,55-64,F,35955,0,1,69.2
Adamaoua,2007,65+,M,25908,0,5,62.1
Adamaoua,2007,65+,F,26966,0,5,71.8
Adamaoua,2008,0-14,M,379260,0,2,0.0
Adamaoua,2008,0-14,F,394740,0,2,0.0
Adamaoua,2008,15-24,M,176400,35,1,82.9
Adamaoua,2008,15-24,F,183600,35,1,71.0
Adamaoua,2008,25-34,M,123480,25,1,75.7
Adamaoua,2008,25-34,F,128520,25,1,77.5
Adamaoua,2008,35-44,M,88200,0,1,74.2
Adamaoua,2008,35-44,F,91800,0,1,69.8
Adamaoua,2008,45-54,M,52920,0,1,63.0
Adamaoua,2008,45-54,F,55080,0,1,79.3
Adamaoua,2008,55-64,M,35280,0,1,64.7
Adamaoua,2008,55-64,F,36720,0,1,61.4
Adamaoua,2008,65+,M,26460,0,5,64.9
Adamaoua,2008,65+,F,27540,0,5,83.3
Adamaoua,2009,0-14,M,387161,0,2,0.0
Adamaoua,2009,0-14,F,402963,0,2,0.0
Adamaoua,2009,15-24,M,180075,35,1,84.1
Adamaoua,2009,15-24,F,187425,35,1,84.7
Adamaoua,2009,25-34,M,126052,25,1,80.6
Adamaoua,2009,25-34,F,131197,25,1,61.2
Adamaoua,2009,35-44,M,90037,0,1,72.5
Adamaoua,2009,35-44,F,93712,0,1,76.0
Adamaoua,2009,45-54,M,54022,0,1,76.7
Adamaoua,2009,45-54,F,56227,0,1,68.9
Adamaoua,2009,55-64,M,36015,0,1,72.1
Adamaoua,2009,55-64,F,37485,0,1,72.1
Adamaoua,2009,65+,M,27011,0,5,62.9
Adamaoua,2009,65+,F,28113,0,5,71.8
Adamaoua,2010,0-14,M,395062,0,2,0.0
Adamaoua,2010,0-14,F,411187,0,2,0.0
Adamaoua,2010,15-24,M,183750,35,1,62.7
Adamaoua,2010,15-24,F,191250,35,1,60.4
Adamaoua,2010,25-34,M,128625,25,1,83.8
Adamaoua,2010,25-34,F,133875,25,1,81.6
Adamaoua,2010,35-44,M,91875,0,1,78.6
Adamaoua,2010,35-44,F,95625,0,1,75.8
Adamaoua,2010,45-54,M,55125,0,1,70.1
Adamaoua,2010,45-54,F,57375,0,1,69.3
Adamaoua,2010,55-64,M,36750,0,1,85.0
Adamaoua,2010,55-64,F,38250,0,1,75.6
Adamaoua,2010,65+,M,27562,0,5,76.1
Adamaoua,2010,65+,F,28687,0,5,80.8
Adamaoua,2011,0-14,M,402963,0,2,0.0
Adamaoua,2011,0-14,F,419411,0,2,0.0
Adamaoua,2011,15-24,M,187424,35,1,83.3
Adamaoua,2011,15-24,F,195074,35,1,83.9
Adamaoua,2011,25-34,M,131197,25,1,83.8
Adamaoua,2011,25-34,F,136552,25,1,60.3
Adamaoua,2011,35-44,M,93712,0,1,76.4
Adamaoua,2011,35-44,F,97537,0,1,70.9
Adamaoua,2011,45-54,M,56227,0,1,64.6
Adamaoua,2011,45-54,F,58522,0,1,62.4
Adamaoua,2011,55-64,M,37484,0,1,76.2
Adamaoua,2011,55-64,F,39014,0,1,76.0
Adamaoua,2011,65+,M,28113,0,5,67.6
Adamaoua,2011,65+,F,29261,0,5,78.9
Adamaoua,2012,0-14,M,410865,0,2,0.0
Adamaoua,2012,0-14,F,427635,0,2,0.0
Adamaoua,2012,15-24,M,191100,35,1,66.5
Adamaoua,2012,15-24,F,198900,35,1,71.7
Adamaoua,2012,25-34,M,133770,25,1,83.4
Adamaoua,2012,25-34,F,139230,25,1,78.1
Adamaoua,2012,35-44,M,95550,0,1,78.4
Adamaoua,2012,35-44,F,99450,0,1,81.3
Adamaoua,2012,45-54,M,57330,0,1,80.9
Adamaoua,2012,45-54,F,59670,0,1,78.3
Adamaoua,2012,55-64,M,38220,0,1,65.2
Adamaoua,2012,55-64,F,39780,0,1,68.9
Adamaoua,2012,65+,M,28665,0,5,62.3
Adamaoua,2012,65+,F,29835,0,5,68.0
Adamaoua,2013,0-14,M,418766,0,2,0.0
Adamaoua,2013,0-14,F,435858,0,2,0.0
Adamaoua,2013,15-24,M,194775,35,1,65.8
Adamaoua,2013,15-24,F,202725,35,1,73.7
Adamaoua,2013,25-34,M,136342,25,1,60.0
Adamaoua,2013,25-34,F,141907,25,1,82.1
Adamaoua,2013,35-44,M,97387,0,1,61.2
Adamaoua,2013,35-44,F,101362,0,1,77.2
Adamaoua,2013,45-54,M,58432,0,1,78.8
Adamaoua,2013,45-54,F,60817,0,1,82.2
Adamaoua,2013,55-64,M,38955,0,1,77.0
Adamaoua,2013,55-64,F,40545,0,1,70.4
Adamaoua,2013,65+,M,29216,0,5,62.1
Adamaoua,2013,65+,F,30408,0,5,61.4
Adamaoua,2014,0-14,M,426667,0,2,0.0
Adamaoua,2014,0-14,F,444082,0,2,0.0
Adamaoua,2014,15-24,M,198450,35,1,68.7
Adamaoua,2014,15-24,F,206550,35,1,67.3
Adamaoua,2014,25-34,M,138915,25,1,73.6
Adamaoua,2014,25-34,F,144585,25,1,63.0
Adamaoua,2014,35-44,M,99225,0,1,68.7
Adamaoua,2014,35-44,F,103275,0,1,65.8
Adamaoua,2014,45-54,M,59535,0,1,72.1
Adamaoua,2014,45-54,F,61965,0,1,79.5
Adamaoua,2014,55-64,M,39690,0,1,79.3
Adamaoua,2014,55-64,F,41310,0,1,65.0
Adamaoua,2014,65+,M,29767,0,5,69.8
Adamaoua,2014,65+,F,30982,0,5,69.5
Adamaoua,2015,0-14,M,434568,0,2,0.0
Adamaoua,2015,0-14,F,452306,0,2,0.0
Adamaoua,2015,15-24,M,202125,35,1,82.4
Adamaoua,2015,15-24,F,210375,35,1,62.0
Adamaoua,2015,25-34,M,141487,25,1,70.1
Adamaoua,2015,25-34,F,147262,25,1,69.1
Adamaoua,2015,35-44,M,101062,0,1,65.8
Adamaoua,2015,35-44,F,105187,0,1,62.3
Adamaoua,2015,45-54,M,60637,0,1,77.2
Adamaoua,2015,45-54,F,63112,0,1,77.3
Adamaoua,2015,55-64,M,40425,0,1,68.1
Adamaoua,2015,55-64,F,42075,0,1,76.5
Adamaoua,2015,65+,M,30318,0,5,63.9
Adamaoua,2015,65+,F,31556,0,5,79.0
Adamaoua,2016,0-14,M,442470,0,2,0.0
Adamaoua,2016,0-14,F,460530,0,2,0.0
Adamaoua,2016,15-24,M,205800,35,1,82.9
Adamaoua,2016,15-24,F,214200,35,1,77.5
Adamaoua,2016,25-34,M,144060,25,1,64.8
Adamaoua,2016,25-34,F,149940,25,1,84.0
Adamaoua,2016,35-44,M,102900,0,1,77.6
Adamaoua,2016,35-44,F,107100,0,1,67.2
Adamaoua,2016,45-54,M,61740,0,1,82.1
Adamaoua,2016,45-54,F,64260,0,1,77.9
Adamaoua,2016,55-64,M,41160,0,1,75.7
Adamaoua,2016,55-64,F,42840,0,1,60.6
Adamaoua,2016,65+,M,30870,0,5,61.3
Adamaoua,2016,65+,F,32130,0,5,79.9
Adamaoua,2017,0-14,M,450371,0,2,0.0
Adamaoua,2017,0-14,F,468753,0,2,0.0
Adamaoua,2017,15-24,M,209475,35,1,83.0
Adamaoua,2017,15-24,F,218025,35,1,61.4
Adamaoua,2017,25-34,M,146632,25,1,82.9
Adamaoua,2017,25-34,F,152617,25,1,82.3
Adamaoua,2017,35-44,M,104737,0,1,73.5
Adamaoua,2017,35-44,F,109012,0,1,79.9
Adamaoua,2017,45-54,M,62842,0,1,84.0
Adamaoua,2017,45-54,F,65407,0,1,71.3
Adamaoua,2017,55-64,M,41895,0,1,81.3
Adamaoua,2017,55-64,F,43605,0,1,60.6
Adamaoua,2017,65+,M,31421,0,5,68.7
Adamaoua,2017,65+,F,32703,0,5,75.0
Adamaoua,2018,0-14,M,458272,0,2,0.0
Adamaoua,2018,0-14,F,476977,0,2,0.0
Adamaoua,2018,15-24,M,213150,35,1,72.5
Adamaoua,2018,15-24,F,221850,35,1,82.6
Adamaoua,2018,25-34,M,149205,25,1,73.3
Adamaoua,2018,25-34,F,155295,25,1,68.8
Adamaoua,2018,35-44,M,106575,0,1,76.5
Adamaoua,2018,35-44,F,110925,0,1,78.3
Adamaoua,2018,45-54,M,63945,0,1,72.2
Adamaoua,2018,45-54,F,66555,0,1,84.4
Adamaoua,2018,55-64,M,42630,0,1,61.6
Adamaoua,2018,55-64,F,44370,0,1,60.2
Adamaoua,2018,65+,M,31972,0,5,74.1
Adamaoua,2018,65+,F,33277,0,5,66.7
Adamaoua,2019,0-14,M,466173,0,2,0.0
Adamaoua,2019,0-14,F,485201,0,2,0.0
Adamaoua,2019,15-24,M,216825,35,1,60.3
Adamaoua,2019,15-24,F,225675,35,1,80.6
Adamaoua,2019,25-34,M,151777,25,1,76.1
Adamaoua,2019,25-34,F,157972,25,1,67.8
Adamaoua,2019,35-44,M,108412,0,1,72.4
Adamaoua,2019,35-44,F,112837,0,1,67.9
Adamaoua,2019,45-54,M,65047,0,1,65.8
Adamaoua,2019,45-54,F,67702,0,1,82.6
Adamaoua,2019,55-64,M,43365,0,1,80.3
Adamaoua,2019,55-64,F,45135,0,1,84.9
Adamaoua,2019,65+,M,32523,0,5,79.4
Adamaoua,2019,65+,F,33851,0,5,63.9
Adamaoua,2020,0-14,M,474075,0,2,0.0
Adamaoua,2020,0-14,F,493425,0,2,0.0
Adamaoua,2020,15-24,M,220500,35,1,64.4
Adamaoua,2020,15-24,F,229500,35,1,78.7
Adamaoua,2020,25-34,M,154350,25,1,82.3
Adamaoua,2020,25-34,F,160650,25,1,63.3
Adamaoua,2020,35-44,M,110250,0,1,82.0
Adamaoua,2020,35-44,F,114750,0,1,78.5
Adamaoua,2020,45-54,M,66150,0,1,75.3
Adamaoua,2020,45-54,F,68850,0,1,63.9
Adamaoua,2020,55-64,M,44100,0,1,68.9
Adamaoua,2020,55-64,F,45900,0,1,76.9
Adamaoua,2020,65+,M,33075,0,5,71.2
Adamaoua,2020,65+,F,34425,0,5,64.4
Adamaoua,2021,0-14,M,481976,0,2,0.0
Adamaoua,2021,0-14,F,501648,0,2,0.0
Adamaoua,2021,15-24,M,224175,35,1,64.4
Adamaoua,2021,15-24,F,233325,35,1,78.1
Adamaoua,2021,25-34,M,156922,25,1,65.2
Adamaoua,2021,25-34,F,163327,25,1,78.8
Adamaoua,2021,35-44,M,112087,0,1,63.4
Adamaoua,2021,35-44,F,116662,0,1,67.4
Adamaoua,2021,45-54,M,67252,0,1,67.0
Adamaoua,2021,45-54,F,69997,0,1,64.2
Adamaoua,2021,55-64,M,44835,0,1,61.9
Adamaoua,2021,55-64,F,46665,0,1,65.0
Adamaoua,2021,65+,M,33626,0,5,80.5
Adamaoua,2021,65+,F,34998,0,5,73.3
Adamaoua,2022,0-14,M,489877,0,2,0.0
Adamaoua,2022,0-14,F,509872,0,2,0.0
Adamaoua,2022,15-24,M,227850,35,1,70.1
Adamaoua,2022,15-24,F,237150,35,1,82.8
Adamaoua,2022,25-34,M,159495,25,1,73.3
Adamaoua,2022,25-34,F,166005,25,1,84.5
Adamaoua,2022,35-44,M,113925,0,1,69.6
Adamaoua,2022,35-44,F,118575,0,1,83.4
Adamaoua,2022,45-54,M,68355,0,1,62.4
Adamaoua,2022,45-54,F,71145,0,1,84.6
Adamaoua,2022,55-64,M,45570,0,1,61.2
Adamaoua,2022,55-64,F,47430,0,1,74.8
Adamaoua,2022,65+,M,34177,0,5,76.2
Adamaoua,2022,65+,F,35572,0,5,76.5
Adamaoua,2023,0-14,M,497778,0,2,0.0
Adamaoua,2023,0-14,F,518096,0,2,0.0
Adamaoua,2023,15-24,M,231525,35,1,67.4
Adamaoua,2023,15-24,F,240975,35,1,60.2
Adamaoua,2023,25-34,M,162067,25,1,66.6
Adamaoua,2023,25-34,F,168682,25,1,73.4
Adamaoua,2023,35-44,M,115762,0,1,76.1
Adamaoua,2023,35-44,F,120487,0,1,70.5
Adamaoua,2023,45-54,M,69457,0,1,83.7
Adamaoua,2023,45-54,F,72292,0,1,81.3
Adamaoua,2023,55-64,M,46305,0,1,60.7
Adamaoua,2023,55-64,F,48195,0,1,78.6
Adamaoua,2023,65+,M,34728,0,5,82.4
Adamaoua,2023,65+,F,36146,0,5,63.9
Centre,2000,0-14,M,948150,0,2,0.0
Centre,2000,0-14,F,986850,0,2,0.0
Centre,2000,15-24,M,441000,35,1,60.1
Centre,2000,15-24,F,459000,35,1,74.7
Centre,2000,25-34,M,308700,25,1,75.7
Centre,2000,25-34,F,321300,25,1,81.4
Centre,2000,35-44,M,220500,0,1,84.9
Centre,2000,35-44,F,229500,0,1,82.0
Centre,2000,45-54,M,132300,0,1,67.2
Centre,2000,45-54,F,137700,0,1,78.7
Centre,2000,55-64,M,88200,0,1,65.4
Centre,2000,55-64,F,91800,0,1,69.3
Centre,2000,65+,M,66150,0,5,61.3
Centre,2000,65+,F,68850,0,5,64.8
Centre,2001,0-14,M,971853,0,2,0.0
Centre,2001,0-14,F,1011521,0,2,0.0
Centre,2001,15-24,M,452025,35,1,65.5
Centre,2001,15-24,F,470475,35,1,84.0
Centre,2001,25-34,M,316417,25,1,70.8
Centre,2001,25-34,F,329332,25,1,69.9
Centre,2001,35-44,M,226012,0,1,62.7
Centre,2001,35-44,F,235237,0,1,67.4
Centre,2001,45-54,M,135607,0,1,74.2
Centre,2001,45-54,F,141142,0,1,66.3
Centre,2001,55-64,M,90405,0,1,74.2
Centre,2001,55-64,F,94095,0,1,63.8
Centre,2001,65+,M,67803,0,5,61.8
Centre,2001,65+,F,70571,0,5,75.9
Centre,2002,0-14,M,995557,0,2,0.0
Centre,2002,0-14,F,1036192,0,2,0.0
Centre,2002,15-24,M,463050,35,1,64.5
Centre,2002,15-24,F,481950,35,1,74.9
Centre,2002,25-34,M,324135,25,1,79.6
Centre,2002,25-34,F,337365,25,1,72.2
Centre,2002,35-44,M,231525,0,1,77.4
Centre,2002,35-44,F,240975,0,1,63.0
Centre,2002,45-54,M,138915,0,1,73.2
Centre,2002,45-54,F,144585,0,1,70.2
Centre,2002,55-64,M,92610,0,1,76.3
Centre,2002,55-64,F,96390,0,1,64.0
Centre,2002,65+,M,69457,0,5,76.3
Centre,2002,65+,F,72292,0,5,62.7
Centre,2003,0-14,M,1019261,0,2,0.0
Centre,2003,0-14,F,1060863,0,2,0.0
Centre,2003,15-24,M,474075,35,1,73.9
Centre,2003,15-24,F,493425,35,1,68.7
Centre,2003,25-34,M,331852,25,1,63.6
Centre,2003,25-34,F,345397,25,1,69.1
Centre,2003,35-44,M,237037,0,1,60.8
Centre,2003,35-44,F,246712,0,1,62.3
Centre,2003,45-54,M,142222,0,1,75.7
Centre,2003,45-54,F,148027,0,1,71.5
Centre,2003,55-64,M,94815,0,1,65.4
Centre,2003,55-64,F,98685,0,1,61.2
Centre,2003,65+,M,71111,0,5,63.1
Centre,2003,65+,F,74013,0,5,64.6
Centre,2004,0-14,M,1042965,0,2,0.0
Centre,2004,0-14,F,1085535,0,2,0.0
Centre,2004,15-24,M,485100,35,1,80.4
Centre,2004,15-24,F,504900,35,1,67.3
Centre,2004,25-34,M,339570,25,1,63.1
Centre,2004,25-34,F,353430,25,1,65.3
Centre,2004,35-44,M,242550,0,1,81.3
Centre,2004,35-44,F,252450,0,1,79.3
Centre,2004,45-54,M,145530,0,1,69.8
Centre,2004,45-54,F,151470,0,1,72.0
Centre,2004,55-64,M,97020,0,1,73.7
Centre,2004,55-64,F,100980,0,1,72.5
Centre,2004,65+,M,72765,0,5,83.7
Centre,2004,65+,F,75735,0,5,83.7
Centre,2005,0-14,M,1066668,0,2,0.0
Centre,2005,0-14,F,1110206,0,2,0.0
Centre,2005,15-24,M,496125,35,1,81.2
Centre,2005,15-24,F,516375,35,1,69.5
Centre,2005,25-34,M,347287,25,1,72.9
Centre,2005,25-34,F,361462,25,1,61.1
Centre,2005,35-44,M,248062,0,1,83.2
Centre,2005,35-44,F,258187,0,1,66.8
Centre,2005,45-54,M,148837,0,1,63.3
Centre,2005,45-54,F,154912,0,1,65.0
Centre,2005,55-64,M,99225,0,1,71.5
Centre,2005,55-64,F,103275,0,1,72.1
Centre,2005,65+,M,74418,0,5,66.0
Centre,2005,65+,F,77456,0,5,65.0
Centre,2006,0-14,M,1090372,0,2,0.0
Centre,2006,0-14,F,1134877,0,2,0.0
Centre,2006,15-24,M,507150,35,1,84.3
Centre,2006,15-24,F,527850,35,1,71.3
Centre,2006,25-34,M,355005,25,1,77.4
Centre,2006,25-34,F,369495,25,1,72.1
Centre,2006,35-44,M,253575,0,1,62.6
Centre,2006,35-44,F,263925,0,1,70.2
Centre,2006,45-54,M,152145,0,1,76.5
Centre,2006,45-54,F,158355,0,1,68.7
Centre,2006,55-64,M,101430,0,1,76.5
Centre,2006,55-64,F,105570,0,1,63.3
Centre,2006,65+,M,76072,0,5,65.3
Centre,2006,65+,F,79177,0,5,67.8
Centre,2007,0-14,M,1114076,0,2,0.0
Centre,2007,0-14,F,1159548,0,2,0.0
Centre,2007,15-24,M,518175,35,1,73.6
Centre,2007,15-24,F,539325,35,1,75.1
Centre,2007,25-34,M,362722,25,1,70.6
Centre,2007,25-34,F,377527,25,1,78.8
Centre,2007,35-44,M,259087,0,1,79.0
Centre,2007,35-44,F,269662,0,1,71.1
Centre,2007,45-54,M,155452,0,1,75.2
Centre,2007,45-54,F,161797,0,1,84.1
Centre,2007,55-64,M,103635,0,1,77.2
Centre,2007,55-64,F,107865,0,1,68.6
Centre,2007,65+,M,77726,0,5,77.3
Centre,2007,65+,F,80898,0,5,84.7
Centre,2008,0-14,M,1137780,0,2,0.0
Centre,2008,0-14,F,1184220,0,2,0.0
Centre,2008,15-24,M,529200,35,1,72.4
Centre,2008,15-24,F,550800,35,1,82.2
Centre,2008,25-34,M,370440,25,1,80.5
Centre,2008,25-34,F,385560,25,1,69.8
Centre,2008,35-44,M,264600,0,1,84.6
Centre,2008,35-44,F,275400,0,1,80.8
Centre,2008,45-54,M,158760,0,1,83.2
Centre,2008,45-54,F,165240,0,1,80.5
Centre,2008,55-64,M,105840,0,1,82.1
Centre,2008,55-64,F,110160,0,1,79.2
Centre,2008,65+,M,79380,0,5,77.3
Centre,2008,65+,F,82620,0,5,75.8
Centre,2009,0-14,M,1161483,0,2,0.0
Centre,2009,0-14,F,1208891,0,2,0.0
Centre,2009,15-24,M,540225,35,1,81.6
Centre,2009,15-24,F,562275,35,1,64.3
Centre,2009,25-34,M,378157,25,1,64.7
Centre,2009,25-34,F,393592,25,1,72.0
Centre,2009,35-44,M,270112,0,1,66.5
Centre,2009,35-44,F,281137,0,1,81.5
Centre,2009,45-54,M,162067,0,1,63.7
Centre,2009,45-54,F,168682,0,1,72.4
Centre,2009,55-64,M,108045,0,1,65.5
Centre,2009,55-64,F,112455,0,1,65.3
Centre,2009,65+,M,81033,0,5,71.8
Centre,2009,65+,F,84341,0,5,83.4
Centre,2010,0-14,M,1185187,0,2,0.0
Centre,2010,0-14,F,1233562,0,2,0.0
Centre,2010,15-24,M,551250,35,1,72.9
Centre,2010,15-24,F,573750,35,1,69.4
Centre,2010,25-34,M,385875,25,1,75.9
Centre,2010,25-34,F,401625,25,1,76.8
Centre,2010,35-44,M,275625,0,1,65.6
Centre,2010,35-44,F,286875,0,1,73.7
Centre,2010,45-54,M,165375,0,1,85.0
Centre,2010,45-54,F,172125,0,1,73.5
Centre,2010,55-64,M,110250,0,1,67.2
Centre,2010,55-64,F,114750,0,1,75.0
Centre,2010,65+,M,82687,0,5,61.6
Centre,2010,65+,F,86062,0,5,69.2
Centre,2011,0-14,M,1208891,0,2,0.0
Centre,2011,0-14,F,1258233,0,2,0.0
Centre,2011,15-24,M,562275,35,1,73.9
Centre,2011,15-24,F,585225,35,1,84.0
Centre,2011,25-34,M,393592,25,1,60.2
Centre,2011,25-34,F,409657,25,1,61.4
Centre,2011,35-44,M,281137,0,1,71.9
Centre,2011,35-44,F,292612,0,1,69.1
Centre,2011,45-54,M,168682,0,1,74.9
Centre,2011,45-54,F,175567,0,1,79.5
Centre,2011,55-64,M,112455,0,1,76.5
Centre,2011,55-64,F,117045,0,1,68.1
Centre,2011,65+,M,84341,0,5,62.0
Centre,2011,65+,F,87783,0,5,60.7
Centre,2012,0-14,M,1232595,0,2,0.0
Centre,2012,0-14,F,1282905,0,2,0.0
Centre,2012,15-24,M,573300,35,1,77.4
Centre,2012,15-24,F,596700,35,1,73.6
Centre,2012,25-34,M,401310,25,1,83.7
Centre,2012,25-34,F,417690,25,1,77.4
Centre,2012,35-44,M,286650,0,1,72.9
Centre,2012,35-44,F,298350,0,1,84.2
Centre,2012,45-54,M,171990,0,1,77.0
Centre,2012,45-54,F,179010,0,1,84.2
Centre,2012,55-64,M,114660,0,1,84.0
Centre,2012,55-64,F,119340,0,1,68.5
Centre,2012,65+,M,85995,0,5,73.9
Centre,2012,65+,F,89505,0,5,83.9
Centre,2013,0-14,M,1256298,0,2,0.0
Centre,2013,0-14,F,1307576,0,2,0.0
Centre,2013,15-24,M,584325,35,1,67.2
Centre,2013,15-24,F,608175,35,1,70.7
Centre,2013,25-34,M,409027,25,1,62.8
Centre,2013,25-34,F,425722,25,1,84.6
Centre,2013,35-44,M,292162,0,1,72.4
Centre,2013,35-44,F,304087,0,1,81.2
Centre,2013,45-54,M,175297,0,1,77.2
Centre,2013,45-54,F,182452,0,1,73.0
Centre,2013,55-64,M,116865,0,1,74.1
Centre,2013,55-64,F,121635,0,1,83.1
Centre,2013,65+,M,87648,0,5,74.4
Centre,2013,65+,F,91226,0,5,63.6
Centre,2014,0-14,M,1280002,0,2,0.0
Centre,2014,0-14,F,1332247,0,2,0.0
Centre,2014,15-24,M,595350,35,1,78.4
Centre,2014,15-24,F,619650,35,1,79.4
Centre,2014,25-34,M,416745,25,1,62.1
Centre,2014,25-34,F,433755,25,1,75.9
Centre,2014,35-44,M,297675,0,1,79.9
