region,annee,quintile,indicateur,valeur,unite
Adamaoua,2006,Q3,Accès toilettes,29.75,%
Adamaoua,2006,Q3,Possession telephone,49.0,%
Adamaoua,2006,Q3,Possession radio,42.0,%
Adamaoua,2006,Q3,Possession TV,28.0,%
Adamaoua,2006,Q4,Revenu moyen mensuel,153000.0,FCFA
Adamaoua,2006,Q4,Depenses alimentation,74122.98,FCFA
Adamaoua,2006,Q4,Depenses sante,12271.67,FCFA
Adamaoua,2006,Q4,Depenses education,8544.48,FCFA
Adamaoua,2006,Q4,Depenses logement,27411.42,FCFA
Adamaoua,2006,Q4,Depenses transport,17343.86,FCFA
Adamaoua,2006,Q4,Accès eau potable,57.0,%
Adamaoua,2006,Q4,Accès electricite,52.25,%
Adamaoua,2006,Q4,Accès toilettes,33.25,%
Adamaoua,2006,Q4,Possession telephone,63.0,%
Adamaoua,2006,Q4,Possession radio,54.0,%
Adamaoua,2006,Q4,Possession TV,36.0,%
Adamaoua,2006,Q5 (plus riche),Revenu moyen mensuel,306000.0,FCFA
Adamaoua,2006,Q5 (plus riche),Depenses alimentation,133130.19,FCFA
Adamaoua,2006,Q5 (plus riche),Depenses sante,21941.46,FCFA
Adamaoua,2006,Q5 (plus riche),Depenses education,16579.37,FCFA
Adamaoua,2006,Q5 (plus riche),Depenses logement,55325.01,FCFA
Adamaoua,2006,Q5 (plus riche),Depenses transport,39421.5,FCFA
Adamaoua,2006,Q5 (plus riche),Accès eau potable,60.0,%
Adamaoua,2006,Q5 (plus riche),Accès electricite,55.0,%
Adamaoua,2006,Q5 (plus riche),Accès toilettes,35.0,%
Adamaoua,2006,Q5 (plus riche),Possession telephone,84.0,%
Adamaoua,2006,Q5 (plus riche),Possession radio,72.0,%
Adamaoua,2006,Q5 (plus riche),Possession TV,48.0,%
Adamaoua,2007,Q1 (plus pauvre),Revenu moyen mensuel,26000.0,FCFA
Adamaoua,2007,Q1 (plus pauvre),Depenses alimentation,9390.74,FCFA
Adamaoua,2007,Q1 (plus pauvre),Depenses sante,1930.35,FCFA
Adamaoua,2007,Q1 (plus pauvre),Depenses education,1499.06,FCFA
Adamaoua,2007,Q1 (plus pauvre),Depenses logement,5937.84,FCFA
Adamaoua,2007,Q1 (plus pauvre),Depenses transport,3228.88,FCFA
Adamaoua,2007,Q1 (plus pauvre),Accès eau potable,30.0,%
Adamaoua,2007,Q1 (plus pauvre),Accès electricite,27.5,%
Adamaoua,2007,Q1 (plus pauvre),Accès toilettes,17.5,%
Adamaoua,2007,Q1 (plus pauvre),Possession telephone,21.0,%
Adamaoua,2007,Q1 (plus pauvre),Possession radio,18.0,%
Adamaoua,2007,Q1 (plus pauvre),Possession TV,12.0,%
Adamaoua,2007,Q2,Revenu moyen mensuel,52000.0,FCFA
Adamaoua,2007,Q2,Depenses alimentation,27135.05,FCFA
Adamaoua,2007,Q2,Depenses sante,3351.21,FCFA
Adamaoua,2007,Q2,Depenses education,2657.36,FCFA
Adamaoua,2007,Q2,Depenses logement,8938.75,FCFA
Adamaoua,2007,Q2,Depenses transport,6589.97,FCFA
Adamaoua,2007,Q2,Accès eau potable,42.0,%
Adamaoua,2007,Q2,Accès electricite,38.5,%
Adamaoua,2007,Q2,Accès toilettes,24.5,%
Adamaoua,2007,Q2,Possession telephone,35.0,%
Adamaoua,2007,Q2,Possession radio,30.0,%
Adamaoua,2007,Q2,Possession TV,20.0,%
Adamaoua,2007,Q3,Revenu moyen mensuel,93600.0,FCFA
Adamaoua,2007,Q3,Depenses alimentation,39642.09,FCFA
Adamaoua,2007,Q3,Depenses sante,7514.57,FCFA
Adamaoua,2007,Q3,Depenses education,3795.53,FCFA
Adamaoua,2007,Q3,Depenses logement,17756.23,FCFA
Adamaoua,2007,Q3,Depenses transport,10212.39,FCFA
Adamaoua,2007,Q3,Accès eau potable,51.0,%
Adamaoua,2007,Q3,Accès electricite,46.75,%
Adamaoua,2007,Q3,Accès toilettes,29.75,%
Adamaoua,2007,Q3,Possession telephone,49.0,%
Adamaoua,2007,Q3,Possession radio,42.0,%
Adamaoua,2007,Q3,Possession TV,28.0,%
Adamaoua,2007,Q4,Revenu moyen mensuel,156000.0,FCFA
Adamaoua,2007,Q4,Depenses alimentation,75877.61,FCFA
Adamaoua,2007,Q4,Depenses sante,10585.51,FCFA
Adamaoua,2007,Q4,Depenses education,8159.76,FCFA
Adamaoua,2007,Q4,Depenses logement,32426.73,FCFA
Adamaoua,2007,Q4,Depenses transport,19031.85,FCFA
Adamaoua,2007,Q4,Accès eau potable,57.0,%
Adamaoua,2007,Q4,Accès electricite,52.25,%
Adamaoua,2007,Q4,Accès toilettes,33.25,%
Adamaoua,2007,Q4,Possession telephone,63.0,%
Adamaoua,2007,Q4,Possession radio,54.0,%
Adamaoua,2007,Q4,Possession TV,36.0,%
Adamaoua,2007,Q5 (plus riche),Revenu moyen mensuel,312000.0,FCFA
Adamaoua,2007,Q5 (plus riche),Depenses alimentation,128996.3,FCFA
Adamaoua,2007,Q5 (plus riche),Depenses sante,21554.27,FCFA
Adamaoua,2007,Q5 (plus riche),Depenses education,14420.79,FCFA
Adamaoua,2007,Q5 (plus riche),Depenses logement,61551.19,FCFA
Adamaoua,2007,Q5 (plus riche),Depenses transport,37095.36,FCFA
Adamaoua,2007,Q5 (plus riche),Accès eau potable,60.0,%
Adamaoua,2007,Q5 (plus riche),Accès electricite,55.0,%
Adamaoua,2007,Q5 (plus riche),Accès toilettes,35.0,%
Adamaoua,2007,Q5 (plus riche),Possession telephone,84.0,%
Adamaoua,2007,Q5 (plus riche),Possession radio,72.0,%
Adamaoua,2007,Q5 (plus riche),Possession TV,48.0,%
Adamaoua,2008,Q1 (plus pauvre),Revenu moyen mensuel,26500.0,FCFA
Adamaoua,2008,Q1 (plus pauvre),Depenses alimentation,12837.31,FCFA
Adamaoua,2008,Q1 (plus pauvre),Depenses sante,1722.31,FCFA
Adamaoua,2008,Q1 (plus pauvre),Depenses education,1125.1,FCFA
Adamaoua,2008,Q1 (plus pauvre),Depenses logement,4930.23,FCFA
Adamaoua,2008,Q1 (plus pauvre),Depenses transport,2983.39,FCFA
Adamaoua,2008,Q1 (plus pauvre),Accès eau potable,30.0,%
Adamaoua,2008,Q1 (plus pauvre),Accès electricite,27.5,%
Adamaoua,2008,Q1 (plus pauvre),Accès toilettes,17.5,%
Adamaoua,2008,Q1 (plus pauvre),Possession telephone,21.0,%
Adamaoua,2008,Q1 (plus pauvre),Possession radio,18.0,%
Adamaoua,2008,Q1 (plus pauvre),Possession TV,12.0,%
Adamaoua,2008,Q2,Revenu moyen mensuel,53000.0,FCFA
Adamaoua,2008,Q2,Depenses alimentation,19907.9,FCFA
Adamaoua,2008,Q2,Depenses sante,4937.77,FCFA
Adamaoua,2008,Q2,Depenses education,2278.56,FCFA
Adamaoua,2008,Q2,Depenses logement,11046.66,FCFA
Adamaoua,2008,Q2,Depenses transport,7471.33,FCFA
Adamaoua,2008,Q2,Accès eau potable,42.0,%
Adamaoua,2008,Q2,Accès electricite,38.5,%
Adamaoua,2008,Q2,Accès toilettes,24.5,%
Adamaoua,2008,Q2,Possession telephone,35.0,%
Adamaoua,2008,Q2,Possession radio,30.0,%
Adamaoua,2008,Q2,Possession TV,20.0,%
Adamaoua,2008,Q3,Revenu moyen mensuel,95400.0,FCFA
Adamaoua,2008,Q3,Depenses alimentation,37532.75,FCFA
Adamaoua,2008,Q3,Depenses sante,7934.14,FCFA
Adamaoua,2008,Q3,Depenses education,5058.22,FCFA
Adamaoua,2008,Q3,Depenses logement,15791.75,FCFA
Adamaoua,2008,Q3,Depenses transport,12409.54,FCFA
Adamaoua,2008,Q3,Accès eau potable,51.0,%
Adamaoua,2008,Q3,Accès electricite,46.75,%
Adamaoua,2008,Q3,Accès toilettes,29.75,%
Adamaoua,2008,Q3,Possession telephone,49.0,%
Adamaoua,2008,Q3,Possession radio,42.0,%
Adamaoua,2008,Q3,Possession TV,28.0,%
Adamaoua,2008,Q4,Revenu moyen mensuel,159000.0,FCFA
Adamaoua,2008,Q4,Depenses alimentation,64230.29,FCFA
Adamaoua,2008,Q4,Depenses sante,13875.98,FCFA
Adamaoua,2008,Q4,Depenses education,9353.28,FCFA
Adamaoua,2008,Q4,Depenses logement,33978.66,FCFA
Adamaoua,2008,Q4,Depenses transport,17495.29,FCFA
Adamaoua,2008,Q4,Accès eau potable,57.0,%
Adamaoua,2008,Q4,Accès electricite,52.25,%
Adamaoua,2008,Q4,Accès toilettes,33.25,%
Adamaoua,2008,Q4,Possession telephone,63.0,%
Adamaoua,2008,Q4,Possession radio,54.0,%
Adamaoua,2008,Q4,Possession TV,36.0,%
Adamaoua,2008,Q5 (plus riche),Revenu moyen mensuel,318000.0,FCFA
Adamaoua,2008,Q5 (plus riche),Depenses alimentation,122151.49,FCFA
Adamaoua,2008,Q5 (plus riche),Depenses sante,25753.84,FCFA
Adamaoua,2008,Q5 (plus riche),Depenses education,17868.66,FCFA
Adamaoua,2008,Q5 (plus riche),Depenses logement,62467.03,FCFA
Adamaoua,2008,Q5 (plus riche),Depenses transport,44920.95,FCFA
Adamaoua,2008,Q5 (plus riche),Accès eau potable,60.0,%
Adamaoua,2008,Q5 (plus riche),Accès electricite,55.0,%
Adamaoua,2008,Q5 (plus riche),Accès toilettes,35.0,%
Adamaoua,2008,Q5 (plus riche),Possession telephone,84.0,%
Adamaoua,2008,Q5 (plus riche),Possession radio,72.0,%
Adamaoua,2008,Q5 (plus riche),Possession TV,48.0,%
Adamaoua,2009,Q1 (plus pauvre),Revenu moyen mensuel,27000.0,FCFA
Adamaoua,2009,Q1 (plus pauvre),Depenses alimentation,10551.26,FCFA
Adamaoua,2009,Q1 (plus pauvre),Depenses sante,2475.71,FCFA
Adamaoua,2009,Q1 (plus pauvre),Depenses education,1530.2,FCFA
Adamaoua,2009,Q1 (plus pauvre),Depenses logement,4670.16,FCFA
Adamaoua,2009,Q1 (plus pauvre),Depenses transport,3654.68,FCFA
Adamaoua,2009,Q1 (plus pauvre),Accès eau potable,30.0,%
Adamaoua,2009,Q1 (plus pauvre),Accès electricite,27.5,%
Adamaoua,2009,Q1 (plus pauvre),Accès toilettes,17.5,%
Adamaoua,2009,Q1 (plus pauvre),Possession telephone,21.0,%
Adamaoua,2009,Q1 (plus pauvre),Possession radio,18.0,%
Adamaoua,2009,Q1 (plus pauvre),Possession TV,12.0,%
Adamaoua,2009,Q2,Revenu moyen mensuel,54000.0,FCFA
Adamaoua,2009,Q2,Depenses alimentation,21078.29,FCFA
Adamaoua,2009,Q2,Depenses sante,4530.96,FCFA
Adamaoua,2009,Q2,Depenses education,2765.81,FCFA
Adamaoua,2009,Q2,Depenses logement,11679.1,FCFA
Adamaoua,2009,Q2,Depenses transport,6888.91,FCFA
Adamaoua,2009,Q2,Accès eau potable,42.0,%
Adamaoua,2009,Q2,Accès electricite,38.5,%
Adamaoua,2009,Q2,Accès toilettes,24.5,%
Adamaoua,2009,Q2,Possession telephone,35.0,%
Adamaoua,2009,Q2,Possession radio,30.0,%
Adamaoua,2009,Q2,Possession TV,20.0,%
Adamaoua,2009,Q3,Revenu moyen mensuel,97200.0,FCFA
Adamaoua,2009,Q3,Depenses alimentation,42757.46,FCFA
Adamaoua,2009,Q3,Depenses sante,6965.65,FCFA
Adamaoua,2009,Q3,Depenses education,4979.52,FCFA
Adamaoua,2009,Q3,Depenses logement,21223.87,FCFA
Adamaoua,2009,Q3,Depenses transport,12027.62,FCFA
Adamaoua,2009,Q3,Accès eau potable,51.0,%
Adamaoua,2009,Q3,Accès electricite,46.75,%
Adamaoua,2009,Q3,Accès toilettes,29.75,%
Adamaoua,2009,Q3,Possession telephone,49.0,%
Adamaoua,2009,Q3,Possession radio,42.0,%
Adamaoua,2009,Q3,Possession TV,28.0,%
Adamaoua,2009,Q4,Revenu moyen mensuel,162000.0,FCFA
Adamaoua,2009,Q4,Depenses alimentation,86864.8,FCFA
Adamaoua,2009,Q4,Depenses sante,14081.95,FCFA
Adamaoua,2009,Q4,Depenses education,8893.37,FCFA
Adamaoua,2009,Q4,Depenses logement,30972.94,FCFA
Adamaoua,2009,Q4,Depenses transport,16553.33,FCFA
Adamaoua,2009,Q4,Accès eau potable,57.0,%
Adamaoua,2009,Q4,Accès electricite,52.25,%
Adamaoua,2009,Q4,Accès toilettes,33.25,%
Adamaoua,2009,Q4,Possession telephone,63.0,%
Adamaoua,2009,Q4,Possession radio,54.0,%
Adamaoua,2009,Q4,Possession TV,36.0,%
Adamaoua,2009,Q5 (plus riche),Revenu moyen mensuel,324000.0,FCFA
Adamaoua,2009,Q5 (plus riche),Depenses alimentation,133722.98,FCFA
Adamaoua,2009,Q5 (plus riche),Depenses sante,29399.65,FCFA
Adamaoua,2009,Q5 (plus riche),Depenses education,14583.33,FCFA
Adamaoua,2009,Q5 (plus riche),Depenses logement,59674.67,FCFA
Adamaoua,2009,Q5 (plus riche),Depenses transport,34837.41,FCFA
Adamaoua,2009,Q5 (plus riche),Accès eau potable,60.0,%
Adamaoua,2009,Q5 (plus riche),Accès electricite,55.0,%
Adamaoua,2009,Q5 (plus riche),Accès toilettes,35.0,%
Adamaoua,2009,Q5 (plus riche),Possession telephone,84.0,%
Adamaoua,2009,Q5 (plus riche),Possession radio,72.0,%
Adamaoua,2009,Q5 (plus riche),Possession TV,48.0,%
Adamaoua,2010,Q1 (plus pauvre),Revenu moyen mensuel,27500.0,FCFA
Adamaoua,2010,Q1 (plus pauvre),Depenses alimentation,12677.72,FCFA
Adamaoua,2010,Q1 (plus pauvre),Depenses sante,2456.24,FCFA
Adamaoua,2010,Q1 (plus pauvre),Depenses education,1306.45,FCFA
Adamaoua,2010,Q1 (plus pauvre),Depenses logement,4689.26,FCFA
Adamaoua,2010,Q1 (plus pauvre),Depenses transport,3241.72,FCFA
Adamaoua,2010,Q1 (plus pauvre),Accès eau potable,30.0,%
Adamaoua,2010,Q1 (plus pauvre),Accès electricite,27.5,%
Adamaoua,2010,Q1 (plus pauvre),Accès toilettes,17.5,%
Adamaoua,2010,Q1 (plus pauvre),Possession telephone,21.0,%
Adamaoua,2010,Q1 (plus pauvre),Possession radio,18.0,%
Adamaoua,2010,Q1 (plus pauvre),Possession TV,12.0,%
Adamaoua,2010,Q2,Revenu moyen mensuel,55000.0,FCFA
Adamaoua,2010,Q2,Depenses alimentation,22127.1,FCFA
Adamaoua,2010,Q2,Depenses sante,3534.34,FCFA
Adamaoua,2010,Q2,Depenses education,3016.77,FCFA
Adamaoua,2010,Q2,Depenses logement,12805.81,FCFA
Adamaoua,2010,Q2,Depenses transport,7072.86,FCFA
Adamaoua,2010,Q2,Accès eau potable,42.0,%
Adamaoua,2010,Q2,Accès electricite,38.5,%
Adamaoua,2010,Q2,Accès toilettes,24.5,%
Adamaoua,2010,Q2,Possession telephone,35.0,%
Adamaoua,2010,Q2,Possession radio,30.0,%
Adamaoua,2010,Q2,Possession TV,20.0,%
Adamaoua,2010,Q3,Revenu moyen mensuel,99000.0,FCFA
Adamaoua,2010,Q3,Depenses alimentation,45778.97,FCFA
Adamaoua,2010,Q3,Depenses sante,6565.37,FCFA
Adamaoua,2010,Q3,Depenses education,5641.57,FCFA
Adamaoua,2010,Q3,Depenses logement,22292.83,FCFA
Adamaoua,2010,Q3,Depenses transport,13135.45,FCFA
Adamaoua,2010,Q3,Accès eau potable,51.0,%
Adamaoua,2010,Q3,Accès electricite,46.75,%
Adamaoua,2010,Q3,Accès toilettes,29.75,%
Adamaoua,2010,Q3,Possession telephone,49.0,%
Adamaoua,2010,Q3,Possession radio,42.0,%
Adamaoua,2010,Q3,Possession TV,28.0,%
Adamaoua,2010,Q4,Revenu moyen mensuel,165000.0,FCFA
Adamaoua,2010,Q4,Depenses alimentation,74509.77,FCFA
Adamaoua,2010,Q4,Depenses sante,10761.98,FCFA
Adamaoua,2010,Q4,Depenses education,8511.73,FCFA
Adamaoua,2010,Q4,Depenses logement,37128.24,FCFA
Adamaoua,2010,Q4,Depenses transport,16741.57,FCFA
Adamaoua,2010,Q4,Accès eau potable,57.0,%
Adamaoua,2010,Q4,Accès electricite,52.25,%
Adamaoua,2010,Q4,Accès toilettes,33.25,%
Adamaoua,2010,Q4,Possession telephone,63.0,%
Adamaoua,2010,Q4,Possession radio,54.0,%
Adamaoua,2010,Q4,Possession TV,36.0,%
Adamaoua,2010,Q5 (plus riche),Revenu moyen mensuel,330000.0,FCFA
Adamaoua,2010,Q5 (plus riche),Depenses alimentation,122883.86,FCFA
Adamaoua,2010,Q5 (plus riche),Depenses sante,23752.87,FCFA
Adamaoua,2010,Q5 (plus riche),Depenses education,16933.59,FCFA
Adamaoua,2010,Q5 (plus riche),Depenses logement,68720.96,FCFA
Adamaoua,2010,Q5 (plus riche),Depenses transport,38407.46,FCFA
Adamaoua,2010,Q5 (plus riche),Accès eau potable,60.0,%
Adamaoua,2010,Q5 (plus riche),Accès electricite,55.0,%
Adamaoua,2010,Q5 (plus riche),Accès toilettes,35.0,%
Adamaoua,2010,Q5 (plus riche),Possession telephone,84.0,%
Adamaoua,2010,Q5 (plus riche),Possession radio,72.0,%
Adamaoua,2010,Q5 (plus riche),Possession TV,48.0,%
Adamaoua,2011,Q1 (plus pauvre),Revenu moyen mensuel,28000.0,FCFA
Adamaoua,2011,Q1 (plus pauvre),Depenses alimentation,13418.93,FCFA
Adamaoua,2011,Q1 (plus pauvre),Depenses sante,2074.62,FCFA
Adamaoua,2011,Q1 (plus pauvre),Depenses education,1160.24,FCFA
Adamaoua,2011,Q1 (plus pauvre),Depenses logement,5636.88,FCFA
Adamaoua,2011,Q1 (plus pauvre),Depenses transport,3057.08,FCFA
Adamaoua,2011,Q1 (plus pauvre),Accès eau potable,30.0,%
Adamaoua,2011,Q1 (plus pauvre),Accès electricite,27.5,%
Adamaoua,2011,Q1 (plus pauvre),Accès toilettes,17.5,%
Adamaoua,2011,Q1 (plus pauvre),Possession telephone,21.0,%
Adamaoua,2011,Q1 (plus pauvre),Possession radio,18.0,%
Adamaoua,2011,Q1 (plus pauvre),Possession TV,12.0,%
Adamaoua,2011,Q2,Revenu moyen mensuel,56000.0,FCFA
Adamaoua,2011,Q2,Depenses alimentation,28896.12,FCFA
Adamaoua,2011,Q2,Depenses sante,4509.3,FCFA
Adamaoua,2011,Q2,Depenses education,2657.41,FCFA
Adamaoua,2011,Q2,Depenses logement,12770.84,FCFA
Adamaoua,2011,Q2,Depenses transport,5930.67,FCFA
Adamaoua,2011,Q2,Accès eau potable,42.0,%
Adamaoua,2011,Q2,Accès electricite,38.5,%
Adamaoua,2011,Q2,Accès toilettes,24.5,%
Adamaoua,2011,Q2,Possession telephone,35.0,%
Adamaoua,2011,Q2,Possession radio,30.0,%
Adamaoua,2011,Q2,Possession TV,20.0,%
Adamaoua,2011,Q3,Revenu moyen mensuel,100800.0,FCFA
Adamaoua,2011,Q3,Depenses alimentation,38171.11,FCFA
Adamaoua,2011,Q3,Depenses sante,7993.04,FCFA
Adamaoua,2011,Q3,Depenses education,4187.8,FCFA
Adamaoua,2011,Q3,Depenses logement,23165.23,FCFA
Adamaoua,2011,Q3,Depenses transport,13533.53,FCFA
Adamaoua,2011,Q3,Accès eau potable,51.0,%
Adamaoua,2011,Q3,Accès electricite,46.75,%
Adamaoua,2011,Q3,Accès toilettes,29.75,%
Adamaoua,2011,Q3,Possession telephone,49.0,%
Adamaoua,2011,Q3,Possession radio,42.0,%
Adamaoua,2011,Q3,Possession TV,28.0,%
Adamaoua,2011,Q4,Revenu moyen mensuel,168000.0,FCFA
Adamaoua,2011,Q4,Depenses alimentation,61655.07,FCFA
Adamaoua,2011,Q4,Depenses sante,11657.35,FCFA
Adamaoua,2011,Q4,Depenses education,8228.23,FCFA
Adamaoua,2011,Q4,Depenses logement,39526.64,FCFA
Adamaoua,2011,Q4,Depenses transport,16257.61,FCFA
Adamaoua,2011,Q4,Accès eau potable,57.0,%
Adamaoua,2011,Q4,Accès electricite,52.25,%
Adamaoua,2011,Q4,Accès toilettes,33.25,%
Adamaoua,2011,Q4,Possession telephone,63.0,%
Adamaoua,2011,Q4,Possession radio,54.0,%
Adamaoua,2011,Q4,Possession TV,36.0,%
Adamaoua,2011,Q5 (plus riche),Revenu moyen mensuel,336000.0,FCFA
Adamaoua,2011,Q5 (plus riche),Depenses alimentation,158233.6,FCFA
Adamaoua,2011,Q5 (plus riche),Depenses sante,25425.69,FCFA
Adamaoua,2011,Q5 (plus riche),Depenses education,17233.68,FCFA
Adamaoua,2011,Q5 (plus riche),Depenses logement,67877.86,FCFA
Adamaoua,2011,Q5 (plus riche),Depenses transport,40510.1,FCFA
Adamaoua,2011,Q5 (plus riche),Accès eau potable,60.0,%
Adamaoua,2011,Q5 (plus riche),Accès electricite,55.0,%
Adamaoua,2011,Q5 (plus riche),Accès toilettes,35.0,%
Adamaoua,2011,Q5 (plus riche),Possession telephone,84.0,%
Adamaoua,2011,Q5 (plus riche),Possession radio,72.0,%
Adamaoua,2011,Q5 (plus riche),Possession TV,48.0,%
Adamaoua,2012,Q1 (plus pauvre),Revenu moyen mensuel,28500.0,FCFA
Adamaoua,2012,Q1 (plus pauvre),Depenses alimentation,14585.82,FCFA
Adamaoua,2012,Q1 (plus pauvre),Depenses sante,2088.32,FCFA
Adamaoua,2012,Q1 (plus pauvre),Depenses education,1373.17,FCFA
Adamaoua,2012,Q1 (plus pauvre),Depenses logement,4700.26,FCFA
Adamaoua,2012,Q1 (plus pauvre),Depenses transport,3241.66,FCFA
Adamaoua,2012,Q1 (plus pauvre),Accès eau potable,30.0,%
Adamaoua,2012,Q1 (plus pauvre),Accès electricite,27.5,%
Adamaoua,2012,Q1 (plus pauvre),Accès toilettes,17.5,%
Adamaoua,2012,Q1 (plus pauvre),Possession telephone,21.0,%
