date,annee,mois,jour,region,precipitation_mm,temperature_c,humidite_pct
2000-06-25,2000,6,25,Adamaoua,0.37,29.7,65.1
2000-06-26,2000,6,26,Adamaoua,0.41,34.3,72.0
2000-06-27,2000,6,27,Adamaoua,2.37,24.4,81.6
2000-06-28,2000,6,28,Adamaoua,7.98,29.7,86.6
2000-06-29,2000,6,29,Adamaoua,1.34,21.5,55.4
2000-06-30,2000,6,30,Adamaoua,2.64,28.3,87.5
2000-07-01,2000,7,1,Adamaoua,2.22,24.2,70.7
2000-07-02,2000,7,2,Adamaoua,3.14,25.8,76.2
2000-07-03,2000,7,3,Adamaoua,2.54,23.8,70.3
2000-07-04,2000,7,4,Adamaoua,0.83,25.6,65.8
2000-07-05,2000,7,5,Adamaoua,0.38,29.1,58.9
2000-07-06,2000,7,6,Adamaoua,1.67,28.2,63.5
2000-07-07,2000,7,7,Adamaoua,0.71,23.8,68.8
2000-07-08,2000,7,8,Adamaoua,2.03,31.4,56.2
2000-07-09,2000,7,9,Adamaoua,0.92,27.2,68.2
2000-07-10,2000,7,10,Adamaoua,1.32,22.9,67.0
2000-07-11,2000,7,11,Adamaoua,1.61,25.4,53.5
2000-07-12,2000,7,12,Adamaoua,0.1,26.5,71.2
2000-07-13,2000,7,13,Adamaoua,3.64,24.7,68.9
2000-07-14,2000,7,14,Adamaoua,1.3,29.4,70.6
2000-07-15,2000,7,15,Adamaoua,5.75,28.6,54.4
2000-07-16,2000,7,16,Adamaoua,1.03,32.0,94.4
2000-07-17,2000,7,17,Adamaoua,4.04,30.7,62.4
2000-07-18,2000,7,18,Adamaoua,1.89,27.6,49.0
2000-07-19,2000,7,19,Adamaoua,6.36,30.1,83.4
2000-07-20,2000,7,20,Adamaoua,0.28,25.0,56.3
2000-07-21,2000,7,21,Adamaoua,1.03,29.8,69.9
2000-07-22,2000,7,22,Adamaoua,0.19,25.2,65.7
2000-07-23,2000,7,23,Adamaoua,2.18,29.7,66.2
2000-07-24,2000,7,24,Adamaoua,1.74,26.5,55.4
2000-07-25,2000,7,25,Adamaoua,0.15,29.8,70.5
2000-07-26,2000,7,26,Adamaoua,0.06,22.9,75.8
2000-07-27,2000,7,27,Adamaoua,7.63,27.5,63.8
2000-07-28,2000,7,28,Adamaoua,0.49,23.1,67.1
2000-07-29,2000,7,29,Adamaoua,2.64,23.7,64.8
2000-07-30,2000,7,30,Adamaoua,2.13,26.5,83.3
2000-07-31,2000,7,31,Adamaoua,0.78,31.3,82.6
2000-08-01,2000,8,1,Adamaoua,1.34,26.8,69.1
2000-08-02,2000,8,2,Adamaoua,0.3,22.0,61.6
2000-08-03,2000,8,3,Adamaoua,3.32,27.6,74.6
2000-08-04,2000,8,4,Adamaoua,0.01,23.1,77.4
2000-08-05,2000,8,5,Adamaoua,4.27,33.8,82.0
2000-08-06,2000,8,6,Adamaoua,0.55,31.2,72.4
2000-08-07,2000,8,7,Adamaoua,1.03,25.0,91.9
2000-08-08,2000,8,8,Adamaoua,1.57,27.2,63.2
2000-08-09,2000,8,9,Adamaoua,0.59,23.8,64.4
2000-08-10,2000,8,10,Adamaoua,1.06,26.6,48.2
2000-08-11,2000,8,11,Adamaoua,3.96,28.5,76.5
2000-08-12,2000,8,12,Adamaoua,0.16,24.2,66.9
2000-08-13,2000,8,13,Adamaoua,4.3,21.1,68.2
2000-08-14,2000,8,14,Adamaoua,0.96,22.7,59.7
2000-08-15,2000,8,15,Adamaoua,1.57,20.7,67.7
2000-08-16,2000,8,16,Adamaoua,1.05,26.9,64.5
2000-08-17,2000,8,17,Adamaoua,0.2,23.3,60.2
2000-08-18,2000,8,18,Adamaoua,0.78,25.9,73.2
2000-08-19,2000,8,19,Adamaoua,0.41,25.1,58.6
2000-08-20,2000,8,20,Adamaoua,0.25,26.5,68.1
2000-08-21,2000,8,21,Adamaoua,0.28,23.2,82.5
2000-08-22,2000,8,22,Adamaoua,0.1,23.0,65.2
2000-08-23,2000,8,23,Adamaoua,3.35,27.9,70.3
2000-08-24,2000,8,24,Adamaoua,0.54,22.3,72.4
2000-08-25,2000,8,25,Adamaoua,2.05,26.4,69.1
2000-08-26,2000,8,26,Adamaoua,0.62,31.7,85.4
2000-08-27,2000,8,27,Adamaoua,1.54,26.7,55.7
2000-08-28,2000,8,28,Adamaoua,0.69,26.2,51.8
2000-08-29,2000,8,29,Adamaoua,3.77,28.0,55.4
2000-08-30,2000,8,30,Adamaoua,2.53,19.4,72.6
2000-08-31,2000,8,31,Adamaoua,1.31,25.2,66.6
2000-09-01,2000,9,1,Adamaoua,1.96,25.6,51.4
2000-09-02,2000,9,2,Adamaoua,0.86,27.3,73.0
2000-09-03,2000,9,3,Adamaoua,1.79,20.3,79.0
2000-09-04,2000,9,4,Adamaoua,0.82,21.7,59.3
2000-09-05,2000,9,5,Adamaoua,0.11,25.7,64.0
2000-09-06,2000,9,6,Adamaoua,0.09,25.4,51.8
2000-09-07,2000,9,7,Adamaoua,0.26,25.6,62.1
2000-09-08,2000,9,8,Adamaoua,0.65,21.3,79.9
2000-09-09,2000,9,9,Adamaoua,0.14,22.1,50.7
2000-09-10,2000,9,10,Adamaoua,0.5,27.8,74.8
2000-09-11,2000,9,11,Adamaoua,0.18,25.1,58.0
2000-09-12,2000,9,12,Adamaoua,0.42,27.7,63.3
2000-09-13,2000,9,13,Adamaoua,1.02,22.1,78.1
2000-09-14,2000,9,14,Adamaoua,0.11,32.7,78.5
2000-09-15,2000,9,15,Adamaoua,3.61,24.2,89.0
2000-09-16,2000,9,16,Adamaoua,5.61,22.8,66.0
2000-09-17,2000,9,17,Adamaoua,1.05,27.0,68.2
2000-09-18,2000,9,18,Adamaoua,0.61,22.2,84.2
2000-09-19,2000,9,19,Adamaoua,0.5,22.0,75.3
2000-09-20,2000,9,20,Adamaoua,0.17,21.7,67.4
2000-09-21,2000,9,21,Adamaoua,0.27,26.9,81.8
2000-09-22,2000,9,22,Adamaoua,0.41,23.6,63.1
2000-09-23,2000,9,23,Adamaoua,0.89,23.3,78.6
2000-09-24,2000,9,24,Adamaoua,0.44,28.9,79.0
2000-09-25,2000,9,25,Adamaoua,0.25,28.9,66.9
2000-09-26,2000,9,26,Adamaoua,1.48,24.9,59.0
2000-09-27,2000,9,27,Adamaoua,3.97,31.4,72.1
2000-09-28,2000,9,28,Adamaoua,0.11,27.1,81.5
2000-09-29,2000,9,29,Adamaoua,0.21,23.8,67.9
2000-09-30,2000,9,30,Adamaoua,1.64,25.8,86.9
2000-10-01,2000,10,1,Adamaoua,0.75,24.6,69.6
2000-10-02,2000,10,2,Adamaoua,0.57,25.6,67.5
2000-10-03,2000,10,3,Adamaoua,4.07,25.9,52.8
2000-10-04,2000,10,4,Adamaoua,2.72,28.7,45.2
2000-10-05,2000,10,5,Adamaoua,0.23,26.4,51.6
2000-10-06,2000,10,6,Adamaoua,0.56,26.0,65.3
2000-10-07,2000,10,7,Adamaoua,2.1,27.3,62.7
2000-10-08,2000,10,8,Adamaoua,1.97,27.3,93.1
2000-10-09,2000,10,9,Adamaoua,0.36,27.8,68.5
2000-10-10,2000,10,10,Adamaoua,3.01,29.8,88.7
2000-10-11,2000,10,11,Adamaoua,0.29,29.8,65.6
2000-10-12,2000,10,12,Adamaoua,0.3,28.2,63.7
2000-10-13,2000,10,13,Adamaoua,1.02,32.5,85.7
2000-10-14,2000,10,14,Adamaoua,0.17,29.0,51.2
2000-10-15,2000,10,15,Adamaoua,0.35,35.1,72.1
2000-10-16,2000,10,16,Adamaoua,3.56,25.1,54.3
2000-10-17,2000,10,17,Adamaoua,4.96,27.9,63.8
2000-10-18,2000,10,18,Adamaoua,0.24,26.1,81.9
2000-10-19,2000,10,19,Adamaoua,4.45,27.8,60.9
2000-10-20,2000,10,20,Adamaoua,1.48,24.7,72.9
2000-10-21,2000,10,21,Adamaoua,0.42,22.5,58.4
2000-10-22,2000,10,22,Adamaoua,1.4,22.4,71.1
2000-10-23,2000,10,23,Adamaoua,0.32,26.0,60.8
2000-10-24,2000,10,24,Adamaoua,1.12,27.8,70.9
2000-10-25,2000,10,25,Adamaoua,0.44,28.6,79.3
2000-10-26,2000,10,26,Adamaoua,0.08,22.0,51.9
2000-10-27,2000,10,27,Adamaoua,2.13,30.6,69.8
2000-10-28,2000,10,28,Adamaoua,0.05,25.2,67.8
2000-10-29,2000,10,29,Adamaoua,0.75,26.9,81.2
2000-10-30,2000,10,30,Adamaoua,0.91,24.5,68.2
2000-10-31,2000,10,31,Adamaoua,1.81,28.4,71.2
2000-11-01,2000,11,1,Adamaoua,0.93,28.0,69.3
2000-11-02,2000,11,2,Adamaoua,0.25,26.8,53.3
2000-11-03,2000,11,3,Adamaoua,1.22,22.7,72.4
2000-11-04,2000,11,4,Adamaoua,4.3,23.9,78.7
2000-11-05,2000,11,5,Adamaoua,0.57,26.1,79.1
2000-11-06,2000,11,6,Adamaoua,1.34,26.0,64.8
2000-11-07,2000,11,7,Adamaoua,0.89,23.2,79.1
2000-11-08,2000,11,8,Adamaoua,4.95,29.1,63.1
2000-11-09,2000,11,9,Adamaoua,0.75,26.9,56.3
2000-11-10,2000,11,10,Adamaoua,0.28,29.5,75.2
2000-11-11,2000,11,11,Adamaoua,0.81,23.1,65.5
2000-11-12,2000,11,12,Adamaoua,0.6,24.3,65.4
2000-11-13,2000,11,13,Adamaoua,0.61,26.2,76.4
2000-11-14,2000,11,14,Adamaoua,0.53,28.3,68.9
2000-11-15,2000,11,15,Adamaoua,2.38,28.9,62.4
2000-11-16,2000,11,16,Adamaoua,2.39,26.7,61.0
2000-11-17,2000,11,17,Adamaoua,2.0,26.6,47.0
2000-11-18,2000,11,18,Adamaoua,0.88,20.6,62.7
2000-11-19,2000,11,19,Adamaoua,5.8,28.9,78.1
2000-11-20,2000,11,20,Adamaoua,0.87,23.4,72.3
2000-11-21,2000,11,21,Adamaoua,4.9,24.6,60.6
2000-11-22,2000,11,22,Adamaoua,0.86,27.3,70.2
2000-11-23,2000,11,23,Adamaoua,5.14,28.5,73.4
2000-11-24,2000,11,24,Adamaoua,0.67,29.1,62.0
2000-11-25,2000,11,25,Adamaoua,0.16,28.1,69.7
2000-11-26,2000,11,26,Adamaoua,7.3,28.7,74.6
2000-11-27,2000,11,27,Adamaoua,5.62,27.6,76.6
2000-11-28,2000,11,28,Adamaoua,2.18,27.5,95.8
2000-11-29,2000,11,29,Adamaoua,3.5,28.9,74.2
2000-11-30,2000,11,30,Adamaoua,0.17,21.6,78.1
2000-12-01,2000,12,1,Adamaoua,1.58,31.2,73.5
2000-12-02,2000,12,2,Adamaoua,0.07,30.4,81.1
2000-12-03,2000,12,3,Adamaoua,1.82,29.1,89.0
2000-12-04,2000,12,4,Adamaoua,0.6,30.3,77.0
2000-12-05,2000,12,5,Adamaoua,4.22,25.6,65.9
2000-12-06,2000,12,6,Adamaoua,7.61,26.9,68.5
2000-12-07,2000,12,7,Adamaoua,6.55,26.7,71.0
2000-12-08,2000,12,8,Adamaoua,3.93,29.1,65.7
2000-12-09,2000,12,9,Adamaoua,2.02,29.6,63.0
2000-12-10,2000,12,10,Adamaoua,1.33,30.7,73.4
2000-12-11,2000,12,11,Adamaoua,0.66,36.7,74.0
2000-12-12,2000,12,12,Adamaoua,0.74,28.1,43.3
2000-12-13,2000,12,13,Adamaoua,0.66,29.6,55.8
2000-12-14,2000,12,14,Adamaoua,0.44,33.4,74.6
2000-12-15,2000,12,15,Adamaoua,0.48,25.8,83.1
2000-12-16,2000,12,16,Adamaoua,10.73,29.5,68.2
2000-12-17,2000,12,17,Adamaoua,14.7,34.8,62.5
2000-12-18,2000,12,18,Adamaoua,0.01,28.0,64.0
2000-12-19,2000,12,19,Adamaoua,2.06,26.1,67.0
2000-12-20,2000,12,20,Adamaoua,3.34,33.5,60.0
2000-12-21,2000,12,21,Adamaoua,2.3,24.1,71.9
2000-12-22,2000,12,22,Adamaoua,2.1,30.9,64.5
2000-12-23,2000,12,23,Adamaoua,0.47,26.5,52.4
2000-12-24,2000,12,24,Adamaoua,2.95,25.2,82.5
2000-12-25,2000,12,25,Adamaoua,1.57,30.3,62.6
2000-12-26,2000,12,26,Adamaoua,0.48,26.7,55.9
2000-12-27,2000,12,27,Adamaoua,0.2,29.5,91.7
2000-12-28,2000,12,28,Adamaoua,5.46,34.4,64.4
2000-12-29,2000,12,29,Adamaoua,1.13,25.6,68.7
2000-12-30,2000,12,30,Adamaoua,0.39,25.2,81.9
2000-12-31,2000,12,31,Adamaoua,3.37,30.5,80.7
2001-01-01,2001,1,1,Adamaoua,4.61,31.0,83.2
2001-01-02,2001,1,2,Adamaoua,0.01,36.6,74.2
2001-01-03,2001,1,3,Adamaoua,8.86,31.8,88.7
2001-01-04,2001,1,4,Adamaoua,2.13,28.5,60.9
2001-01-05,2001,1,5,Adamaoua,0.4,28.6,66.1
2001-01-06,2001,1,6,Adamaoua,2.84,29.8,73.0
2001-01-07,2001,1,7,Adamaoua,0.96,28.7,64.7
2001-01-08,2001,1,8,Adamaoua,1.04,31.8,49.6
2001-01-09,2001,1,9,Adamaoua,0.08,31.8,49.6
2001-01-10,2001,1,10,Adamaoua,1.54,25.9,75.5
2001-01-11,2001,1,11,Adamaoua,0.46,27.1,67.0
2001-01-12,2001,1,12,Adamaoua,0.74,28.4,62.1
2001-01-13,2001,1,13,Adamaoua,3.41,34.5,75.5
2001-01-14,2001,1,14,Adamaoua,1.36,28.7,51.0
2001-01-15,2001,1,15,Adamaoua,0.29,33.0,78.1
2001-01-16,2001,1,16,Adamaoua,3.34,31.8,65.4
2001-01-17,2001,1,17,Adamaoua,8.04,25.9,61.1
2001-01-18,2001,1,18,Adamaoua,3.34,29.3,88.7
2001-01-19,2001,1,19,Adamaoua,7.04,28.8,58.3
2001-01-20,2001,1,20,Adamaoua,0.1,36.8,67.6
2001-01-21,2001,1,21,Adamaoua,0.01,28.5,92.9
2001-01-22,2001,1,22,Adamaoua,0.69,34.0,80.6
2001-01-23,2001,1,23,Adamaoua,2.85,33.3,65.2
2001-01-24,2001,1,24,Adamaoua,0.5,34.7,43.9
2001-01-25,2001,1,25,Adamaoua,4.03,24.9,86.5
2001-01-26,2001,1,26,Adamaoua,0.91,27.8,62.7
2001-01-27,2001,1,27,Adamaoua,1.08,30.2,63.0
2001-01-28,2001,1,28,Adamaoua,2.64,32.9,79.9
2001-01-29,2001,1,29,Adamaoua,2.23,27.9,70.4
2001-01-30,2001,1,30,Adamaoua,4.04,29.5,84.3
2001-01-31,2001,1,31,Adamaoua,0.92,30.7,66.6
2001-02-01,2001,2,1,Adamaoua,2.06,34.1,75.8
2001-02-02,2001,2,2,Adamaoua,0.5,30.4,54.3
2001-02-03,2001,2,3,Adamaoua,1.11,30.6,59.6
2001-02-04,2001,2,4,Adamaoua,5.24,29.0,82.7
2001-02-05,2001,2,5,Adamaoua,0.8,34.0,63.7
2001-02-06,2001,2,6,Adamaoua,15.95,25.6,72.4
2001-02-07,2001,2,7,Adamaoua,0.13,29.7,76.9
2001-02-08,2001,2,8,Adamaoua,3.96,32.0,73.1
2001-02-09,2001,2,9,Adamaoua,0.97,32.3,68.8
2001-02-10,2001,2,10,Adamaoua,2.77,31.1,66.6
2001-02-11,2001,2,11,Adamaoua,0.26,30.4,68.1
2001-02-12,2001,2,12,Adamaoua,7.2,28.1,63.7
2001-02-13,2001,2,13,Adamaoua,2.38,29.2,47.4
2001-02-14,2001,2,14,Adamaoua,0.35,29.6,64.9
2001-02-15,2001,2,15,Adamaoua,0.41,33.4,75.4
2001-02-16,2001,2,16,Adamaoua,0.1,33.3,74.2
2001-02-17,2001,2,17,Adamaoua,1.82,26.4,62.7
2001-02-18,2001,2,18,Adamaoua,17.5,27.2,54.7
2001-02-19,2001,2,19,Adamaoua,5.91,35.5,76.9
2001-02-20,2001,2,20,Adamaoua,1.35,25.0,78.5
2001-02-21,2001,2,21,Adamaoua,4.3,31.9,66.4
2001-02-22,2001,2,22,Adamaoua,0.49,32.0,96.5
2001-02-23,2001,2,23,Adamaoua,0.96,28.9,61.1
2001-02-24,2001,2,24,Adamaoua,1.97,24.1,67.9
2001-02-25,2001,2,25,Adamaoua,7.67,27.9,72.1
