id,date,categorie,region,ville,latitude,longitude,valeur,statut,source
96,2021-01-24,penurie_eau,Nord-Ouest,Bamenda,5.960462,10.449497,2,traite,whatsapp
97,2022-09-16,depot_sauvage,Nord,Guider,9.444001,13.383394,1,traite,whatsapp
98,2022-10-11,route_abimee,Extrême-Nord,Kousséri,10.354532,13.814735,4,valide,app
99,2023-01-20,panne_electricite,Est,Abong-Mbang,4.495764,14.194585,2,valide,whatsapp
100,2022-07-23,prix_marche,Centre,Mfou,4.444622,12.412613,600,valide,web
101,2023-06-19,prix_marche,Littoral,Edéa,3.815229,9.220421,637,valide,app
102,2020-03-27,prix_marche,Est,Bertoua,4.123065,13.250545,674,valide,web
103,2020-04-22,panne_electricite,Est,Abong-Mbang,3.166475,14.274593,2,valide,web
104,2023-08-16,route_abimee,Nord,Guider,8.337453,13.964859,3,valide,app
105,2023-01-10,route_abimee,Sud-Ouest,Kumba,4.117566,8.846569,2,traite,web
106,2020-05-01,depot_sauvage,Adamaoua,Ngaoundéré,7.314084,12.679934,3,valide,web
107,2021-01-24,route_abimee,Est,Bertoua,3.840391,13.113542,1,valide,whatsapp
108,2020-05-07,prix_marche,Extrême-Nord,Mora,10.680726,13.276632,907,valide,ussd
109,2021-01-20,route_abimee,Sud-Ouest,Buea,4.067905,8.998823,3,valide,web
110,2021-04-11,route_abimee,Sud,Ebolowa,2.816381,11.423079,2,valide,web
111,2020-05-25,route_abimee,Nord,Guider,9.052191,13.391458,2,valide,app
112,2021-01-11,route_abimee,Ouest,Bafoussam,5.438758,10.40459,2,valide,web
113,2022-05-10,penurie_eau,Adamaoua,Meiganga,6.791182,13.328773,2,en_attente,app
114,2020-03-19,depot_sauvage,Sud,Ebolowa,3.281439,10.59551,1,valide,whatsapp
115,2020-10-11,penurie_eau,Nord,Garoua,8.343638,13.70411,4,valide,app
116,2022-10-21,penurie_eau,Ouest,Bafoussam,5.175437,9.332417,4,valide,whatsapp
117,2023-01-17,depot_sauvage,Littoral,Nkongsamba,4.937972,10.953981,2,valide,web
118,2023-07-27,penurie_eau,Nord-Ouest,Kumbo,5.463954,9.821077,1,valide,ussd
119,2024-01-07,route_abimee,Ouest,Dschang,5.896438,9.178121,2,valide,web
120,2021-04-23,route_abimee,Adamaoua,Ngaoundéré,7.207,13.233869,4,traite,whatsapp
121,2021-11-26,prix_marche,Adamaoua,Meiganga,7.762686,12.950474,1131,valide,web
122,2023-12-01,prix_marche,Nord-Ouest,Kumbo,6.126055,10.324108,474,en_attente,app
123,2022-12-27,panne_electricite,Extrême-Nord,Kousséri,9.858965,14.227503,2,valide,app
124,2022-07-20,panne_electricite,Sud,Ebolowa,1.474814,10.968863,2,valide,whatsapp
125,2023-04-02,panne_electricite,Extrême-Nord,Maroua,10.194792,13.415637,3,en_attente,whatsapp
126,2022-04-22,penurie_eau,Sud-Ouest,Buea,4.520954,8.347321,4,valide,whatsapp
127,2023-04-13,depot_sauvage,Littoral,Nkongsamba,4.249134,10.057151,3,valide,web
128,2020-12-18,prix_marche,Sud-Ouest,Buea,4.561707,8.49383,1588,valide,web
129,2023-06-19,panne_electricite,Sud-Ouest,Buea,3.965223,8.752859,2,traite,whatsapp
130,2023-11-08,penurie_eau,Littoral,Nkongsamba,3.673419,9.33285,3,valide,web
131,2024-01-20,prix_marche,Centre,Yaoundé,4.191672,12.172018,1754,en_attente,whatsapp
132,2020-12-14,prix_marche,Centre,Mfou,4.240226,11.748302,652,valide,web
133,2022-02-24,penurie_eau,Nord-Ouest,Bamenda,5.966635,9.330232,4,en_attente,whatsapp
134,2022-10-09,route_abimee,Extrême-Nord,Kousséri,9.054036,13.909423,2,valide,app
135,2020-06-06,penurie_eau,Extrême-Nord,Maroua,10.999391,13.599557,1,valide,app
136,2023-06-20,panne_electricite,Nord-Ouest,Bamenda,6.352083,10.26601,3,traite,ussd
137,2022-10-01,prix_marche,Est,Bertoua,4.023808,14.001562,503,en_attente,app
138,2023-05-21,penurie_eau,Sud,Ebolowa,1.997908,10.966685,4,en_attente,web
139,2022-10-18,route_abimee,Est,Bertoua,4.560585,13.875263,3,en_attente,whatsapp
140,2022-07-08,depot_sauvage,Est,Abong-Mbang,4.719096,15.046244,3,valide,ussd
141,2022-12-08,depot_sauvage,Extrême-Nord,Maroua,10.288584,14.321527,4,valide,app
142,2023-11-01,depot_sauvage,Sud,Kribi,2.393302,10.884114,1,traite,app
143,2022-01-20,prix_marche,Ouest,Dschang,5.013067,10.763829,221,traite,ussd
144,2022-04-30,penurie_eau,Est,Abong-Mbang,3.366279,14.069457,3,traite,whatsapp
145,2022-12-25,panne_electricite,Centre,Obala,4.204911,12.239585,3,valide,app
146,2024-01-12,penurie_eau,Adamaoua,Meiganga,6.777585,13.705157,4,valide,web
147,2022-08-10,prix_marche,Centre,Mfou,3.649845,11.085832,780,en_attente,ussd
148,2022-05-09,route_abimee,Adamaoua,Ngaoundéré,6.445158,13.022715,4,valide,whatsapp
149,2021-03-30,panne_electricite,Extrême-Nord,Kousséri,10.634726,14.278492,1,valide,whatsapp
150,2021-04-28,panne_electricite,Ouest,Bafoussam,4.428268,10.485345,1,valide,app
151,2022-09-01,depot_sauvage,Est,Abong-Mbang,4.715103,13.271433,4,valide,whatsapp
152,2022-10-01,prix_marche,Nord,Garoua,9.563592,12.384574,669,valide,web
153,2024-01-21,prix_marche,Sud-Ouest,Buea,4.834438,8.841668,1440,valide,web
154,2022-02-05,depot_sauvage,Extrême-Nord,Maroua,9.937052,14.280998,1,traite,web
155,2022-01-05,prix_marche,Sud-Ouest,Buea,4.131799,9.607718,957,valide,web
156,2022-01-12,route_abimee,Adamaoua,Ngaoundéré,6.849316,12.820093,3,valide,whatsapp
157,2022-08-03,penurie_eau,Nord,Garoua,8.940322,13.109156,4,valide,whatsapp
158,2020-02-11,depot_sauvage,Sud,Kribi,2.950015,11.564523,3,valide,app
159,2023-03-13,panne_electricite,Littoral,Edéa,3.863131,10.367131,4,valide,whatsapp
160,2020-07-11,route_abimee,Sud,Ebolowa,2.815462,11.144681,1,en_attente,whatsapp
161,2020-03-31,panne_electricite,Nord-Ouest,Bamenda,5.895577,10.037178,3,traite,ussd
162,2021-08-27,prix_marche,Est,Bertoua,3.232658,13.983547,1821,valide,whatsapp
163,2020-05-16,panne_electricite,Littoral,Nkongsamba,3.83549,9.448735,3,valide,app
164,2022-10-23,depot_sauvage,Ouest,Foumban,5.815972,9.013164,2,valide,whatsapp
165,2020-07-28,route_abimee,Adamaoua,Ngaoundéré,7.706668,12.543451,2,en_attente,app
166,2020-09-09,depot_sauvage,Littoral,Edéa,4.208758,9.65263,1,valide,whatsapp
167,2020-06-18,depot_sauvage,Sud,Ebolowa,2.164004,11.113759,4,en_attente,ussd
168,2022-10-24,depot_sauvage,Littoral,Douala,3.268501,10.078136,4,valide,app
169,2020-11-28,panne_electricite,Centre,Yaoundé,3.68806,11.744784,4,valide,whatsapp
170,2023-12-13,panne_electricite,Extrême-Nord,Mora,9.69292,14.279592,2,en_attente,whatsapp
171,2023-01-31,prix_marche,Sud,Kribi,1.635031,11.291304,1105,valide,whatsapp
172,2020-12-09,route_abimee,Est,Abong-Mbang,4.046581,13.776694,1,valide,app
173,2020-09-19,route_abimee,Sud,Ebolowa,1.382651,11.169666,2,valide,app
174,2022-01-07,route_abimee,Littoral,Nkongsamba,4.524295,10.508666,2,valide,web
175,2020-10-01,prix_marche,Nord,Garoua,9.144338,13.212042,1134,valide,app
176,2023-10-13,depot_sauvage,Sud,Kribi,2.850111,10.640458,3,valide,app
177,2022-01-18,route_abimee,Littoral,Edéa,4.64794,10.3437,2,valide,web
178,2022-01-18,depot_sauvage,Extrême-Nord,Maroua,9.34443,13.611695,3,en_attente,web
179,2022-03-22,prix_marche,Centre,Yaoundé,3.739649,12.629929,291,valide,app
180,2021-05-29,depot_sauvage,Littoral,Douala,3.346476,10.03335,4,valide,ussd
181,2023-09-08,route_abimee,Sud-Ouest,Kumba,5.066707,8.596532,2,valide,app
182,2023-12-07,panne_electricite,Nord-Ouest,Kumbo,6.023252,9.878454,4,valide,web
183,2022-07-07,penurie_eau,Extrême-Nord,Maroua,10.268788,14.452997,3,valide,whatsapp
184,2023-09-10,route_abimee,Sud,Kribi,3.334481,10.977966,2,valide,whatsapp
185,2020-10-29,route_abimee,Littoral,Douala,3.955905,10.878812,3,valide,whatsapp
186,2022-07-17,route_abimee,Ouest,Bafoussam,5.270933,10.732995,2,valide,app
187,2023-07-28,route_abimee,Est,Bertoua,3.25364,13.794419,4,valide,app
188,2021-07-16,route_abimee,Nord,Guider,9.298621,12.397066,2,valide,whatsapp
189,2020-09-18,route_abimee,Sud-Ouest,Limbe,3.978694,9.198049,2,valide,app
190,2020-09-05,route_abimee,Sud-Ouest,Limbe,3.658608,8.570033,4,valide,whatsapp
191,2020-03-18,prix_marche,Nord-Ouest,Kumbo,5.36218,10.556205,567,traite,whatsapp
192,2021-07-05,depot_sauvage,Est,Abong-Mbang,4.06775,14.574864,2,valide,whatsapp
193,2023-10-01,panne_electricite,Nord-Ouest,Bamenda,4.75183,10.190353,4,valide,whatsapp
194,2020-04-26,panne_electricite,Adamaoua,Ngaoundéré,6.939796,12.479034,2,valide,web
195,2022-10-14,depot_sauvage,Sud,Kribi,2.61449,11.615543,1,valide,web
196,2022-12-04,depot_sauvage,Nord-Ouest,Kumbo,6.458859,9.684304,2,en_attente,app
197,2023-03-27,depot_sauvage,Extrême-Nord,Mora,10.48749,14.279588,4,en_attente,whatsapp
198,2021-04-06,panne_electricite,Sud-Ouest,Buea,4.353211,8.771252,4,valide,whatsapp
199,2024-01-10,panne_electricite,Est,Bertoua,3.521811,13.159168,1,valide,app
200,2023-05-30,panne_electricite,Centre,Obala,4.918528,11.822813,3,valide,whatsapp
201,2022-09-28,penurie_eau,Nord-Ouest,Kumbo,5.887723,10.317689,4,valide,app
202,2023-04-05,depot_sauvage,Extrême-Nord,Mora,10.887186,14.263591,2,valide,whatsapp
203,2020-12-31,depot_sauvage,Littoral,Nkongsamba,4.113813,10.255593,3,valide,whatsapp
204,2022-04-25,depot_sauvage,Nord,Guider,9.069687,13.009572,4,en_attente,ussd
205,2020-07-15,route_abimee,Adamaoua,Meiganga,7.398786,13.19517,1,en_attente,ussd
206,2020-01-08,panne_electricite,Ouest,Dschang,4.871069,9.308436,3,en_attente,ussd
207,2022-06-27,panne_electricite,Ouest,Dschang,4.891581,10.259338,4,valide,web
208,2022-12-17,route_abimee,Sud,Kribi,2.420106,10.526584,3,en_attente,whatsapp
209,2021-12-02,route_abimee,Sud,Kribi,2.130817,11.339626,3,valide,whatsapp
210,2023-08-14,penurie_eau,Nord-Ouest,Kumbo,6.292135,9.378897,4,valide,app
211,2020-04-24,route_abimee,Extrême-Nord,Mora,9.430146,14.800825,1,valide,whatsapp
212,2020-10-25,prix_marche,Extrême-Nord,Mora,9.618626,14.7321,684,traite,web
213,2022-07-30,prix_marche,Centre,Mfou,5.43779,12.024842,1609,valide,whatsapp
214,2020-02-05,panne_electricite,Adamaoua,Meiganga,7.528301,12.704288,1,valide,whatsapp
215,2020-05-31,depot_sauvage,Centre,Obala,4.326803,11.756413,1,valide,app
216,2023-12-30,panne_electricite,Extrême-Nord,Maroua,9.669871,13.961427,2,valide,whatsapp
217,2023-06-01,depot_sauvage,Centre,Mfou,3.831681,12.182733,2,valide,whatsapp
218,2021-01-29,panne_electricite,Extrême-Nord,Maroua,11.011993,13.711766,3,valide,whatsapp
219,2021-08-29,prix_marche,Centre,Obala,4.095134,11.918406,771,valide,whatsapp
220,2023-07-17,panne_electricite,Nord-Ouest,Kumbo,5.355755,9.855175,1,valide,whatsapp
221,2020-09-24,panne_electricite,Adamaoua,Ngaoundéré,7.500185,12.980682,3,en_attente,app
222,2020-09-03,route_abimee,Littoral,Edéa,3.307746,10.025212,2,valide,app
223,2020-03-20,panne_electricite,Littoral,Nkongsamba,3.769722,10.020103,2,valide,app
224,2023-07-31,depot_sauvage,Sud,Ebolowa,0.910366,11.16662,3,traite,app
225,2023-06-24,prix_marche,Littoral,Edéa,4.33261,10.052217,842,en_attente,app
226,2022-02-23,depot_sauvage,Extrême-Nord,Mora,10.097299,13.617555,3,valide,whatsapp
227,2023-11-22,penurie_eau,Nord,Guider,10.076329,13.753277,3,valide,web
228,2023-05-27,panne_electricite,Sud-Ouest,Kumba,3.494043,8.68342,3,valide,web
229,2023-11-08,route_abimee,Extrême-Nord,Kousséri,10.677296,15.31735,2,valide,web
230,2020-08-15,route_abimee,Nord,Guider,8.186069,12.333966,1,valide,app
231,2023-09-02,penurie_eau,Extrême-Nord,Mora,9.964256,13.973199,1,valide,app
232,2024-01-01,panne_electricite,Centre,Mfou,4.01102,11.535503,3,valide,web
233,2023-10-10,route_abimee,Nord-Ouest,Bamenda,6.55055,9.955432,4,en_attente,app
234,2023-10-18,panne_electricite,Est,Abong-Mbang,4.016559,15.058318,4,valide,ussd
235,2020-03-10,panne_electricite,Est,Bertoua,4.739041,13.331562,2,valide,whatsapp
236,2023-08-22,route_abimee,Est,Bertoua,3.416176,13.980073,2,valide,whatsapp
237,2023-04-30,route_abimee,Sud,Ebolowa,3.097611,11.517419,4,valide,whatsapp
238,2023-02-06,panne_electricite,Sud-Ouest,Kumba,4.843549,9.255075,1,en_attente,web
239,2023-06-21,panne_electricite,Est,Abong-Mbang,3.349242,13.232122,1,valide,whatsapp
240,2020-09-09,route_abimee,Ouest,Foumban,4.325301,9.96122,1,en_attente,web
241,2020-09-12,depot_sauvage,Nord,Guider,8.62193,13.072404,4,en_attente,app
242,2022-02-21,prix_marche,Sud-Ouest,Limbe,4.008479,9.321067,123,valide,whatsapp
243,2020-12-05,prix_marche,Centre,Mfou,4.588455,11.653706,1213,valide,web
244,2022-07-12,route_abimee,Centre,Mfou,4.508694,12.890567,1,en_attente,whatsapp
245,2022-08-07,prix_marche,Est,Bertoua,3.436602,14.547236,264,traite,whatsapp
246,2021-06-02,depot_sauvage,Est,Abong-Mbang,4.504536,14.831057,3,valide,ussd
247,2022-09-18,prix_marche,Centre,Yaoundé,4.392347,11.498665,157,valide,whatsapp
248,2022-09-04,depot_sauvage,Est,Bertoua,3.654442,14.046929,4,valide,whatsapp
249,2020-09-14,depot_sauvage,Ouest,Dschang,4.9019,10.480454,1,valide,app
250,2020-05-26,penurie_eau,Sud-Ouest,Limbe,3.715299,8.388403,2,valide,web
251,2022-12-24,panne_electricite,Extrême-Nord,Mora,9.895665,13.885509,2,en_attente,whatsapp
252,2022-03-23,panne_electricite,Sud-Ouest,Buea,4.56572,9.17754,4,en_attente,ussd
253,2020-01-10,penurie_eau,Est,Abong-Mbang,3.745777,14.050225,4,valide,whatsapp
254,2023-11-05,penurie_eau,Extrême-Nord,Kousséri,9.556616,15.177439,4,en_attente,app
255,2020-11-12,penurie_eau,Nord,Guider,8.726683,12.945941,4,en_attente,web
256,2021-12-19,penurie_eau,Adamaoua,Meiganga,7.017218,13.062954,1,valide,web
257,2022-05-09,panne_electricite,Extrême-Nord,Maroua,10.127193,14.474202,2,en_attente,whatsapp
258,2021-04-20,route_abimee,Nord,Garoua,9.575682,13.192738,2,valide,web
259,2020-10-05,panne_electricite,Sud-Ouest,Buea,4.517286,8.808306,2,en_attente,ussd
260,2022-07-27,panne_electricite,Extrême-Nord,Kousséri,9.012732,14.537206,1,valide,ussd
261,2020-05-10,route_abimee,Ouest,Bafoussam,4.117198,9.649634,4,valide,whatsapp
262,2020-08-01,prix_marche,Sud,Kribi,3.035376,11.473076,137,valide,ussd
263,2023-09-20,penurie_eau,Sud-Ouest,Buea,4.772342,9.013837,4,en_attente,whatsapp
264,2021-03-08,route_abimee,Littoral,Nkongsamba,4.042129,10.528958,3,traite,web
265,2022-02-07,panne_electricite,Sud-Ouest,Kumba,5.278351,8.754775,1,en_attente,app
266,2022-06-20,panne_electricite,Littoral,Douala,4.960065,9.831536,1,en_attente,ussd
267,2023-07-22,prix_marche,Adamaoua,Ngaoundéré,6.597142,12.777657,1391,en_attente,web
268,2021-06-26,penurie_eau,Nord,Garoua,9.534458,13.13353,3,valide,web
269,2022-05-22,depot_sauvage,Nord,Guider,8.753535,12.957417,1,en_attente,app
270,2020-09-13,depot_sauvage,Sud-Ouest,Buea,3.869804,8.180049,3,valide,whatsapp
271,2023-09-16,penurie_eau,Sud-Ouest,Buea,4.929574,9.423733,2,traite,app
272,2023-11-22,route_abimee,Littoral,Nkongsamba,3.498173,10.123741,1,traite,app
273,2021-03-17,penurie_eau,Centre,Yaoundé,3.883018,11.891008,3,valide,whatsapp
274,2020-02-06,penurie_eau,Ouest,Dschang,4.578922,10.377736,4,valide,web
275,2021-05-30,prix_marche,Ouest,Foumban,4.659886,10.037031,1869,en_attente,whatsapp
276,2020-04-17,depot_sauvage,Adamaoua,Ngaoundéré,5.936065,13.208306,3,valide,app
277,2020-10-27,penurie_eau,Centre,Yaoundé,3.323273,12.542806,4,valide,whatsapp
278,2023-10-01,prix_marche,Sud,Ebolowa,3.008705,10.92916,1547,traite,web
279,2022-03-29,depot_sauvage,Littoral,Nkongsamba,4.201635,10.310455,4,valide,whatsapp
280,2023-03-29,penurie_eau,Est,Bertoua,4.468175,14.117907,1,valide,web
281,2020-10-21,penurie_eau,Adamaoua,Meiganga,6.496313,12.564092,2,valide,web
282,2020-08-07,route_abimee,Littoral,Nkongsamba,3.568291,10.237072,2,valide,web
283,2022-04-07,panne_electricite,Nord,Guider,9.373927,13.368284,1,valide,ussd
284,2022-01-20,penurie_eau,Nord,Garoua,8.917856,13.356013,3,en_attente,app
285,2022-01-09,route_abimee,Nord,Garoua,9.154425,11.941049,4,valide,whatsapp
286,2020-10-18,route_abimee,Sud,Ebolowa,2.770261,11.715275,2,en_attente,whatsapp
287,2020-10-02,penurie_eau,Littoral,Edéa,2.948857,9.991946,1,valide,whatsapp
288,2020-07-30,depot_sauvage,Sud-Ouest,Limbe,4.205967,8.123293,1,valide,whatsapp
289,2022-03-23,panne_electricite,Nord-Ouest,Bamenda,4.73601,10.181642,3,valide,app
290,2023-03-07,depot_sauvage,Extrême-Nord,Maroua,9.784024,14.946155,1,valide,app
291,2021-12-19,prix_marche,Est,Abong-Mbang,4.019205,12.997235,508,valide,whatsapp
292,2021-01-28,panne_electricite,Adamaoua,Ngaoundéré,6.173692,13.072177,2,traite,web
293,2023-06-14,panne_electricite,Nord-Ouest,Bamenda,6.590259,9.98379,4,en_attente,web
294,2023-03-08,depot_sauvage,Adamaoua,Ngaoundéré,6.879074,13.516024,4,valide,whatsapp
295,2020-03-08,penurie_eau,Littoral,Edéa,4.665799,10.767963,1,en_attente,app
296,2024-01-02,prix_marche,Littoral,Edéa,2.779687,10.589627,201,valide,web
297,2020-06-25,panne_electricite,Sud,Kribi,2.910585,10.561074,3,en_attente,web
298,2020-10-05,prix_marche,Sud-Ouest,Kumba,4.986635,9.060738,606,valide,whatsapp
