date,annee,mois,region,produit,prix_fcfa_kg,volume_tonnes,valeur_totale_millions
2023-11-01,2023,11,Adamaoua,Manioc,181.53,3316,601.95
2023-12-01,2023,12,Adamaoua,Manioc,190.1,1937,368.23
2000-01-01,2000,1,Adamaoua,Maïs,238.69,2019,481.92
2000-02-01,2000,2,Adamaoua,Maïs,204.43,4206,859.84
2000-03-01,2000,3,Adamaoua,Maïs,204.55,3950,807.96
2000-04-01,2000,4,Adamaoua,Maïs,194.43,573,111.41
2000-05-01,2000,5,Adamaoua,Maïs,187.04,1803,337.23
2000-06-01,2000,6,Adamaoua,Maïs,158.44,2346,371.7
2000-07-01,2000,7,Adamaoua,Maïs,193.82,4252,824.13
2000-08-01,2000,8,Adamaoua,Maïs,145.89,2928,427.16
2000-09-01,2000,9,Adamaoua,Maïs,146.57,352,51.59
2000-10-01,2000,10,Adamaoua,Maïs,149.35,688,102.76
2000-11-01,2000,11,Adamaoua,Maïs,161.43,4173,673.65
2000-12-01,2000,12,Adamaoua,Maïs,181.02,2175,393.71
2001-01-01,2001,1,Adamaoua,Maïs,236.33,4671,1103.92
2001-02-01,2001,2,Adamaoua,Maïs,211.07,1696,357.97
2001-03-01,2001,3,Adamaoua,Maïs,231.85,1581,366.55
2001-04-01,2001,4,Adamaoua,Maïs,230.55,3395,782.71
2001-05-01,2001,5,Adamaoua,Maïs,233.88,3136,733.43
2001-06-01,2001,6,Adamaoua,Maïs,139.17,4630,644.37
2001-07-01,2001,7,Adamaoua,Maïs,170.37,1346,229.31
2001-08-01,2001,8,Adamaoua,Maïs,132.85,175,23.25
2001-09-01,2001,9,Adamaoua,Maïs,172.5,116,20.01
2001-10-01,2001,10,Adamaoua,Maïs,165.99,282,46.81
2001-11-01,2001,11,Adamaoua,Maïs,151.54,4256,644.94
2001-12-01,2001,12,Adamaoua,Maïs,184.44,1543,284.59
2002-01-01,2002,1,Adamaoua,Maïs,239.57,2522,604.18
2002-02-01,2002,2,Adamaoua,Maïs,233.69,2710,633.29
2002-03-01,2002,3,Adamaoua,Maïs,258.46,1811,468.06
2002-04-01,2002,4,Adamaoua,Maïs,192.7,3564,686.77
2002-05-01,2002,5,Adamaoua,Maïs,178.82,2759,493.37
2002-06-01,2002,6,Adamaoua,Maïs,199.64,2374,473.95
2002-07-01,2002,7,Adamaoua,Maïs,162.31,2613,424.11
2002-08-01,2002,8,Adamaoua,Maïs,146.48,3471,508.44
2002-09-01,2002,9,Adamaoua,Maïs,142.24,3785,538.39
2002-10-01,2002,10,Adamaoua,Maïs,142.76,2920,416.87
2002-11-01,2002,11,Adamaoua,Maïs,183.67,695,127.65
2002-12-01,2002,12,Adamaoua,Maïs,191.74,167,32.02
2003-01-01,2003,1,Adamaoua,Maïs,197.44,4339,856.69
2003-02-01,2003,2,Adamaoua,Maïs,214.92,896,192.57
2003-03-01,2003,3,Adamaoua,Maïs,191.65,1191,228.26
2003-04-01,2003,4,Adamaoua,Maïs,286.42,1860,532.74
2003-05-01,2003,5,Adamaoua,Maïs,226.48,4704,1065.38
2003-06-01,2003,6,Adamaoua,Maïs,177.73,2098,372.89
2003-07-01,2003,7,Adamaoua,Maïs,147.6,1878,277.2
2003-08-01,2003,8,Adamaoua,Maïs,172.75,1967,339.79
2003-09-01,2003,9,Adamaoua,Maïs,153.78,2076,319.24
2003-10-01,2003,10,Adamaoua,Maïs,140.61,3794,533.48
2003-11-01,2003,11,Adamaoua,Maïs,161.12,310,49.95
2003-12-01,2003,12,Adamaoua,Maïs,152.11,1723,262.09
2004-01-01,2004,1,Adamaoua,Maïs,204.69,2426,496.58
2004-02-01,2004,2,Adamaoua,Maïs,249.95,2882,720.37
2004-03-01,2004,3,Adamaoua,Maïs,235.9,2088,492.55
2004-04-01,2004,4,Adamaoua,Maïs,208.51,3540,738.13
2004-05-01,2004,5,Adamaoua,Maïs,230.37,4077,939.21
2004-06-01,2004,6,Adamaoua,Maïs,193.98,285,55.28
2004-07-01,2004,7,Adamaoua,Maïs,190.39,3580,681.59
2004-08-01,2004,8,Adamaoua,Maïs,161.34,2685,433.2
2004-09-01,2004,9,Adamaoua,Maïs,168.98,3441,581.47
2004-10-01,2004,10,Adamaoua,Maïs,160.61,3015,484.23
2004-11-01,2004,11,Adamaoua,Maïs,187.68,1364,255.99
2004-12-01,2004,12,Adamaoua,Maïs,211.79,4870,1031.41
2005-01-01,2005,1,Adamaoua,Maïs,209.97,127,26.67
2005-02-01,2005,2,Adamaoua,Maïs,221.4,2671,591.36
2005-03-01,2005,3,Adamaoua,Maïs,264.17,2186,577.47
2005-04-01,2005,4,Adamaoua,Maïs,229.83,2499,574.34
2005-05-01,2005,5,Adamaoua,Maïs,217.18,3647,792.05
2005-06-01,2005,6,Adamaoua,Maïs,228.85,3812,872.36
2005-07-01,2005,7,Adamaoua,Maïs,195.15,4720,921.12
2005-08-01,2005,8,Adamaoua,Maïs,204.4,2240,457.86
2005-09-01,2005,9,Adamaoua,Maïs,131.85,3104,409.27
2005-10-01,2005,10,Adamaoua,Maïs,184.12,4648,855.78
2005-11-01,2005,11,Adamaoua,Maïs,168.63,2201,371.16
2005-12-01,2005,12,Adamaoua,Maïs,203.61,4068,828.29
2006-01-01,2006,1,Adamaoua,Maïs,175.58,2676,469.85
2006-02-01,2006,2,Adamaoua,Maïs,277.64,1252,347.61
2006-03-01,2006,3,Adamaoua,Maïs,226.67,2085,472.61
2006-04-01,2006,4,Adamaoua,Maïs,233.13,527,122.86
2006-05-01,2006,5,Adamaoua,Maïs,231.84,2647,613.68
2006-06-01,2006,6,Adamaoua,Maïs,212.14,1170,248.2
2006-07-01,2006,7,Adamaoua,Maïs,204.37,2386,487.63
2006-08-01,2006,8,Adamaoua,Maïs,183.48,2293,420.72
2006-09-01,2006,9,Adamaoua,Maïs,190.6,1915,365.0
2006-10-01,2006,10,Adamaoua,Maïs,178.03,2962,527.32
2006-11-01,2006,11,Adamaoua,Maïs,187.92,4960,932.09
2006-12-01,2006,12,Adamaoua,Maïs,187.39,3278,614.26
2007-01-01,2007,1,Adamaoua,Maïs,208.95,2421,505.87
2007-02-01,2007,2,Adamaoua,Maïs,321.98,2941,946.95
2007-03-01,2007,3,Adamaoua,Maïs,287.57,843,242.42
2007-04-01,2007,4,Adamaoua,Maïs,297.74,1884,560.95
2007-05-01,2007,5,Adamaoua,Maïs,260.15,3375,878.0
2007-06-01,2007,6,Adamaoua,Maïs,219.08,2969,650.43
2007-07-01,2007,7,Adamaoua,Maïs,156.49,864,135.21
2007-08-01,2007,8,Adamaoua,Maïs,201.03,395,79.41
2007-09-01,2007,9,Adamaoua,Maïs,172.25,1034,178.11
2007-10-01,2007,10,Adamaoua,Maïs,221.09,1689,373.43
2007-11-01,2007,11,Adamaoua,Maïs,224.27,2985,669.46
2007-12-01,2007,12,Adamaoua,Maïs,223.98,3926,879.36
2008-01-01,2008,1,Adamaoua,Maïs,218.82,653,142.89
2008-02-01,2008,2,Adamaoua,Maïs,265.36,3499,928.49
2008-03-01,2008,3,Adamaoua,Maïs,242.94,1255,304.89
2008-04-01,2008,4,Adamaoua,Maïs,240.86,3080,741.84
2008-05-01,2008,5,Adamaoua,Maïs,297.92,2758,821.66
2008-06-01,2008,6,Adamaoua,Maïs,227.32,3552,807.43
2008-07-01,2008,7,Adamaoua,Maïs,191.33,3557,680.55
2008-08-01,2008,8,Adamaoua,Maïs,170.96,4262,728.65
2008-09-01,2008,9,Adamaoua,Maïs,156.98,586,91.99
2008-10-01,2008,10,Adamaoua,Maïs,182.98,1675,306.5
2008-11-01,2008,11,Adamaoua,Maïs,189.93,3331,632.66
2008-12-01,2008,12,Adamaoua,Maïs,229.57,524,120.29
2009-01-01,2009,1,Adamaoua,Maïs,234.41,1004,235.34
2009-02-01,2009,2,Adamaoua,Maïs,301.87,4908,1481.57
