annee,mois,route,type_transport,distance_km,cout_fcfa,temps_heures,accidents,embouteillages,volume_marchandises_tonnes,passagers
2015,3,N4 Maroua-Kousseri,Avion,103,82400,0.2,0,0,0,46
2015,3,N5 Bafoussam-Douala,Camion,167,25050,4.2,0,2,87,18
2015,3,N5 Bafoussam-Douala,Taxi,322,96600,5.4,0,2,0,466
2015,3,N5 Bafoussam-Douala,Bus,384,30720,7.7,0,1,0,250
2015,3,N5 Bafoussam-Douala,Moto,258,25800,5.7,0,6,0,241
2015,3,N5 Bafoussam-Douala,Train,329,19740,4.7,0,3,60,22
2015,3,N5 Bafoussam-Douala,Avion,164,131200,0.3,0,0,0,2
2015,3,N6 Limbe-Kumba,Camion,166,24900,4.2,0,3,40,29
2015,3,N6 Limbe-Kumba,Taxi,451,135300,7.5,0,4,0,29
2015,3,N6 Limbe-Kumba,Bus,206,16480,4.1,0,3,0,74
2015,3,N6 Limbe-Kumba,Moto,316,31600,7.0,0,2,0,465
2015,3,N6 Limbe-Kumba,Train,123,7380,1.8,0,2,51,7
2015,3,N6 Limbe-Kumba,Avion,478,382400,1.0,0,0,0,31
2015,4,N1 Douala-Yaounde,Camion,453,67950,11.3,0,2,73,12
2015,4,N1 Douala-Yaounde,Taxi,288,86400,4.8,0,2,0,92
2015,4,N1 Douala-Yaounde,Bus,358,28640,7.2,0,3,0,474
2015,4,N1 Douala-Yaounde,Moto,130,13000,2.9,0,2,0,160
2015,4,N1 Douala-Yaounde,Train,423,25380,6.0,0,1,71,24
2015,4,N1 Douala-Yaounde,Avion,265,212000,0.5,0,0,0,20
2015,4,N2 Yaounde-Bamenda,Camion,426,63900,10.7,0,0,88,30
2015,4,N2 Yaounde-Bamenda,Taxi,427,128100,7.1,0,1,0,358
2015,4,N2 Yaounde-Bamenda,Bus,406,32480,8.1,0,4,0,107
2015,4,N2 Yaounde-Bamenda,Moto,107,10700,2.4,0,2,0,23
2015,4,N2 Yaounde-Bamenda,Train,245,14700,3.5,0,1,34,11
2015,4,N2 Yaounde-Bamenda,Avion,101,80800,0.2,0,0,0,14
2015,4,N3 Yaounde-Abong,Camion,116,17400,2.9,0,3,25,27
2015,4,N3 Yaounde-Abong,Taxi,319,95700,5.3,0,2,0,289
2015,4,N3 Yaounde-Abong,Bus,194,15520,3.9,0,0,0,6
2015,4,N3 Yaounde-Abong,Moto,310,31000,6.9,0,4,0,250
2015,4,N3 Yaounde-Abong,Train,407,24420,5.8,0,1,17,32
2015,4,N3 Yaounde-Abong,Avion,343,274400,0.7,0,0,0,10
2015,4,N4 Maroua-Kousseri,Camion,345,51750,8.6,0,3,83,31
2015,4,N4 Maroua-Kousseri,Taxi,449,134700,7.5,0,1,0,440
2015,4,N4 Maroua-Kousseri,Bus,282,22560,5.6,0,1,0,491
2015,4,N4 Maroua-Kousseri,Moto,193,19300,4.3,0,2,0,275
2015,4,N4 Maroua-Kousseri,Train,350,21000,5.0,0,1,46,21
2015,4,N4 Maroua-Kousseri,Avion,305,244000,0.6,0,0,0,25
2015,4,N5 Bafoussam-Douala,Camion,358,53700,8.9,0,0,73,6
2015,4,N5 Bafoussam-Douala,Taxi,476,142800,7.9,0,0,0,446
2015,4,N5 Bafoussam-Douala,Bus,423,33840,8.5,0,1,0,414
2015,4,N5 Bafoussam-Douala,Moto,226,22600,5.0,0,3,0,83
2015,4,N5 Bafoussam-Douala,Train,403,24180,5.8,0,0,35,4
2015,4,N5 Bafoussam-Douala,Avion,195,156000,0.4,1,0,0,0
2015,4,N6 Limbe-Kumba,Camion,335,50250,8.4,0,1,61,1
2015,4,N6 Limbe-Kumba,Taxi,206,61800,3.4,1,3,0,147
2015,4,N6 Limbe-Kumba,Bus,471,37680,9.4,0,4,0,384
2015,4,N6 Limbe-Kumba,Moto,424,42400,9.4,0,3,0,381
2015,4,N6 Limbe-Kumba,Train,316,18960,4.5,0,3,3,24
2015,4,N6 Limbe-Kumba,Avion,267,213600,0.5,0,0,0,43
2015,5,N1 Douala-Yaounde,Camion,428,64200,10.7,0,2,71,38
2015,5,N1 Douala-Yaounde,Taxi,108,32400,1.8,0,2,0,361
2015,5,N1 Douala-Yaounde,Bus,165,13200,3.3,0,1,0,440
2015,5,N1 Douala-Yaounde,Moto,170,17000,3.8,1,3,0,380
2015,5,N1 Douala-Yaounde,Train,269,16140,3.8,0,0,78,34
2015,5,N1 Douala-Yaounde,Avion,135,108000,0.3,0,0,0,11
2015,5,N2 Yaounde-Bamenda,Camion,157,23550,3.9,0,1,60,3
2015,5,N2 Yaounde-Bamenda,Taxi,475,142500,7.9,0,1,0,90
2015,5,N2 Yaounde-Bamenda,Bus,487,38960,9.7,0,2,0,169
2015,5,N2 Yaounde-Bamenda,Moto,496,49600,11.0,0,0,0,57
2015,5,N2 Yaounde-Bamenda,Train,468,28080,6.7,0,5,5,29
2015,5,N2 Yaounde-Bamenda,Avion,321,256800,0.6,0,0,0,6
2015,5,N3 Yaounde-Abong,Camion,250,37500,6.2,1,0,29,6
2015,5,N3 Yaounde-Abong,Taxi,395,118500,6.6,0,5,0,244
2015,5,N3 Yaounde-Abong,Bus,216,17280,4.3,0,2,0,304
2015,5,N3 Yaounde-Abong,Moto,424,42400,9.4,0,3,0,453
2015,5,N3 Yaounde-Abong,Train,208,12480,3.0,0,2,81,13
2015,5,N3 Yaounde-Abong,Avion,210,168000,0.4,0,0,0,10
2015,5,N4 Maroua-Kousseri,Camion,452,67800,11.3,0,2,3,14
2015,5,N4 Maroua-Kousseri,Taxi,331,99300,5.5,0,3,0,320
2015,5,N4 Maroua-Kousseri,Bus,204,16320,4.1,2,4,0,350
2015,5,N4 Maroua-Kousseri,Moto,109,10900,2.4,0,1,0,336
2015,5,N4 Maroua-Kousseri,Train,367,22020,5.2,0,2,22,38
2015,5,N4 Maroua-Kousseri,Avion,435,348000,0.9,0,0,0,37
2015,5,N5 Bafoussam-Douala,Camion,176,26400,4.4,0,1,20,48
2015,5,N5 Bafoussam-Douala,Taxi,250,75000,4.2,0,1,0,360
2015,5,N5 Bafoussam-Douala,Bus,446,35680,8.9,0,0,0,67
2015,5,N5 Bafoussam-Douala,Moto,375,37500,8.3,0,4,0,152
2015,5,N5 Bafoussam-Douala,Train,251,15060,3.6,0,2,51,3
2015,5,N5 Bafoussam-Douala,Avion,120,96000,0.2,0,0,0,16
2015,5,N6 Limbe-Kumba,Camion,102,15300,2.5,0,0,80,9
2015,5,N6 Limbe-Kumba,Taxi,111,33300,1.9,0,0,0,143
2015,5,N6 Limbe-Kumba,Bus,134,10720,2.7,0,2,0,5
2015,5,N6 Limbe-Kumba,Moto,236,23600,5.2,0,1,0,410
2015,5,N6 Limbe-Kumba,Train,379,22740,5.4,0,4,95,20
2015,5,N6 Limbe-Kumba,Avion,426,340800,0.9,0,0,0,4
2015,6,N1 Douala-Yaounde,Camion,462,69300,11.6,0,2,3,0
2015,6,N1 Douala-Yaounde,Taxi,294,88200,4.9,0,0,0,197
2015,6,N1 Douala-Yaounde,Bus,264,21120,5.3,0,1,0,379
2015,6,N1 Douala-Yaounde,Moto,114,11400,2.5,0,2,0,362
2015,6,N1 Douala-Yaounde,Train,477,28620,6.8,0,3,89,27
2015,6,N1 Douala-Yaounde,Avion,257,205600,0.5,0,0,0,28
2015,6,N2 Yaounde-Bamenda,Camion,304,45600,7.6,0,4,49,40
2015,6,N2 Yaounde-Bamenda,Taxi,359,107700,6.0,0,1,0,433
2015,6,N2 Yaounde-Bamenda,Bus,433,34640,8.7,0,1,0,370
2015,6,N2 Yaounde-Bamenda,Moto,102,10200,2.3,1,2,0,187
2015,6,N2 Yaounde-Bamenda,Train,416,24960,5.9,0,1,62,25
2015,6,N2 Yaounde-Bamenda,Avion,146,116800,0.3,0,0,0,32
2015,6,N3 Yaounde-Abong,Camion,450,67500,11.2,0,3,46,10
2015,6,N3 Yaounde-Abong,Taxi,294,88200,4.9,0,1,0,72
2015,6,N3 Yaounde-Abong,Bus,486,38880,9.7,0,2,0,482
2015,6,N3 Yaounde-Abong,Moto,498,49800,11.1,0,2,0,489
2015,6,N3 Yaounde-Abong,Train,485,29100,6.9,0,1,74,33
2015,6,N3 Yaounde-Abong,Avion,164,131200,0.3,0,0,0,6
2015,6,N4 Maroua-Kousseri,Camion,150,22500,3.8,0,2,6,20
2015,6,N4 Maroua-Kousseri,Taxi,218,65400,3.6,1,2,0,401
2015,6,N4 Maroua-Kousseri,Bus,466,37280,9.3,0,2,0,27
2015,6,N4 Maroua-Kousseri,Moto,380,38000,8.4,0,3,0,419
2015,6,N4 Maroua-Kousseri,Train,266,15960,3.8,0,3,36,19
2015,6,N4 Maroua-Kousseri,Avion,320,256000,0.6,0,0,0,45
2015,6,N5 Bafoussam-Douala,Camion,499,74850,12.5,0,4,63,10
2015,6,N5 Bafoussam-Douala,Taxi,266,79800,4.4,0,1,0,68
2015,6,N5 Bafoussam-Douala,Bus,258,20640,5.2,0,2,0,62
2015,6,N5 Bafoussam-Douala,Moto,130,13000,2.9,0,3,0,460
2015,6,N5 Bafoussam-Douala,Train,494,29640,7.1,0,2,81,32
2015,6,N5 Bafoussam-Douala,Avion,308,246400,0.6,0,0,0,0
2015,6,N6 Limbe-Kumba,Camion,245,36750,6.1,0,1,40,17
2015,6,N6 Limbe-Kumba,Taxi,210,63000,3.5,0,2,0,370
2015,6,N6 Limbe-Kumba,Bus,467,37360,9.3,0,1,0,256
2015,6,N6 Limbe-Kumba,Moto,264,26400,5.9,0,1,0,21
2015,6,N6 Limbe-Kumba,Train,378,22680,5.4,0,3,80,0
2015,6,N6 Limbe-Kumba,Avion,145,116000,0.3,0,0,0,8
2015,7,N1 Douala-Yaounde,Camion,467,70050,11.7,0,4,51,41
2015,7,N1 Douala-Yaounde,Taxi,327,98100,5.5,0,3,0,112
2015,7,N1 Douala-Yaounde,Bus,203,16240,4.1,0,2,0,2
2015,7,N1 Douala-Yaounde,Moto,214,21400,4.8,0,0,0,294
2015,7,N1 Douala-Yaounde,Train,449,26940,6.4,0,1,64,3
2015,7,N1 Douala-Yaounde,Avion,180,144000,0.4,0,0,0,27
2015,7,N2 Yaounde-Bamenda,Camion,321,48150,8.0,0,3,79,36
2015,7,N2 Yaounde-Bamenda,Taxi,256,76800,4.3,0,0,0,11
2015,7,N2 Yaounde-Bamenda,Bus,108,8640,2.2,0,1,0,441
2015,7,N2 Yaounde-Bamenda,Moto,398,39800,8.8,0,2,0,403
2015,7,N2 Yaounde-Bamenda,Train,497,29820,7.1,0,3,10,7
2015,7,N2 Yaounde-Bamenda,Avion,160,128000,0.3,0,0,0,48
2015,7,N3 Yaounde-Abong,Camion,323,48450,8.1,1,1,65,19
2015,7,N3 Yaounde-Abong,Taxi,357,107100,6.0,0,4,0,348
2015,7,N3 Yaounde-Abong,Bus,280,22400,5.6,1,0,0,262
2015,7,N3 Yaounde-Abong,Moto,256,25600,5.7,1,3,0,61
2015,7,N3 Yaounde-Abong,Train,404,24240,5.8,0,3,97,34
2015,7,N3 Yaounde-Abong,Avion,102,81600,0.2,0,0,0,4
2015,7,N4 Maroua-Kousseri,Camion,159,23850,4.0,0,1,50,16
2015,7,N4 Maroua-Kousseri,Taxi,190,57000,3.2,0,1,0,395
2015,7,N4 Maroua-Kousseri,Bus,220,17600,4.4,0,3,0,390
2015,7,N4 Maroua-Kousseri,Moto,286,28600,6.4,0,5,0,445
2015,7,N4 Maroua-Kousseri,Train,203,12180,2.9,0,1,94,23
2015,7,N4 Maroua-Kousseri,Avion,161,128800,0.3,1,0,0,22
2015,7,N5 Bafoussam-Douala,Camion,191,28650,4.8,0,4,65,35
2015,7,N5 Bafoussam-Douala,Taxi,241,72300,4.0,0,0,0,149
2015,7,N5 Bafoussam-Douala,Bus,451,36080,9.0,0,1,0,227
2015,7,N5 Bafoussam-Douala,Moto,238,23800,5.3,0,2,0,24
2015,7,N5 Bafoussam-Douala,Train,233,13980,3.3,0,0,55,27
2015,7,N5 Bafoussam-Douala,Avion,172,137600,0.3,0,0,0,16
2015,7,N6 Limbe-Kumba,Camion,435,65250,10.9,0,0,31,3
2015,7,N6 Limbe-Kumba,Taxi,414,124200,6.9,0,0,0,383
2015,7,N6 Limbe-Kumba,Bus,346,27680,6.9,0,1,0,389
2015,7,N6 Limbe-Kumba,Moto,462,46200,10.3,0,5,0,66
2015,7,N6 Limbe-Kumba,Train,144,8640,2.1,0,2,44,1
2015,7,N6 Limbe-Kumba,Avion,300,240000,0.6,0,0,0,23
2015,8,N1 Douala-Yaounde,Camion,142,21300,3.5,0,2,24,34
2015,8,N1 Douala-Yaounde,Taxi,489,146700,8.2,0,2,0,374
2015,8,N1 Douala-Yaounde,Bus,181,14480,3.6,0,2,0,0
2015,8,N1 Douala-Yaounde,Moto,435,43500,9.7,0,5,0,494
2015,8,N1 Douala-Yaounde,Train,430,25800,6.1,0,3,40,43
2015,8,N1 Douala-Yaounde,Avion,441,352800,0.9,0,0,0,9
2015,8,N2 Yaounde-Bamenda,Camion,111,16650,2.8,1,4,23,11
2015,8,N2 Yaounde-Bamenda,Taxi,399,119700,6.7,0,2,0,96
2015,8,N2 Yaounde-Bamenda,Bus,183,14640,3.7,0,3,0,455
2015,8,N2 Yaounde-Bamenda,Moto,288,28800,6.4,0,3,0,445
2015,8,N2 Yaounde-Bamenda,Train,346,20760,4.9,0,1,79,31
2015,8,N2 Yaounde-Bamenda,Avion,452,361600,0.9,0,0,0,47
2015,8,N3 Yaounde-Abong,Camion,139,20850,3.5,0,0,95,20
2015,8,N3 Yaounde-Abong,Taxi,184,55200,3.1,0,0,0,480
2015,8,N3 Yaounde-Abong,Bus,246,19680,4.9,0,1,0,363
2015,8,N3 Yaounde-Abong,Moto,171,17100,3.8,0,1,0,59
2015,8,N3 Yaounde-Abong,Train,244,14640,3.5,0,2,66,18
2015,8,N3 Yaounde-Abong,Avion,416,332800,0.8,0,0,0,3
2015,8,N4 Maroua-Kousseri,Camion,232,34800,5.8,0,4,53,40
2015,8,N4 Maroua-Kousseri,Taxi,150,45000,2.5,0,1,0,137
2015,8,N4 Maroua-Kousseri,Bus,245,19600,4.9,0,2,0,362
2015,8,N4 Maroua-Kousseri,Moto,331,33100,7.4,0,4,0,265
2015,8,N4 Maroua-Kousseri,Train,336,20160,4.8,0,4,35,33
2015,8,N4 Maroua-Kousseri,Avion,341,272800,0.7,0,0,0,20
2015,8,N5 Bafoussam-Douala,Camion,392,58800,9.8,0,2,98,40
2015,8,N5 Bafoussam-Douala,Taxi,411,123300,6.8,0,3,0,443
2015,8,N5 Bafoussam-Douala,Bus,245,19600,4.9,0,2,0,262
2015,8,N5 Bafoussam-Douala,Moto,346,34600,7.7,0,2,0,318
2015,8,N5 Bafoussam-Douala,Train,492,29520,7.0,0,3,23,38
2015,8,N5 Bafoussam-Douala,Avion,275,220000,0.6,0,0,0,9
2015,8,N6 Limbe-Kumba,Camion,190,28500,4.8,0,0,18,19
2015,8,N6 Limbe-Kumba,Taxi,209,62700,3.5,1,6,0,421
2015,8,N6 Limbe-Kumba,Bus,428,34240,8.6,0,3,0,436
2015,8,N6 Limbe-Kumba,Moto,435,43500,9.7,0,0,0,359
2015,8,N6 Limbe-Kumba,Train,117,7020,1.7,0,5,14,2
2015,8,N6 Limbe-Kumba,Avion,181,144800,0.4,0,0,0,31
2015,9,N1 Douala-Yaounde,Camion,153,22950,3.8,0,1,14,14
2015,9,N1 Douala-Yaounde,Taxi,422,126600,7.0,0,7,0,462
2015,9,N1 Douala-Yaounde,Bus,329,26320,6.6,0,2,0,47
2015,9,N1 Douala-Yaounde,Moto,496,49600,11.0,0,2,0,142
2015,9,N1 Douala-Yaounde,Train,269,16140,3.8,0,2,2,32
2015,9,N1 Douala-Yaounde,Avion,132,105600,0.3,0,0,0,36
2015,9,N2 Yaounde-Bamenda,Camion,425,63750,10.6,0,0,77,12
2015,9,N2 Yaounde-Bamenda,Taxi,374,112200,6.2,0,5,0,132
2015,9,N2 Yaounde-Bamenda,Bus,218,17440,4.4,0,3,0,442
2015,9,N2 Yaounde-Bamenda,Moto,358,35800,8.0,0,2,0,377
2015,9,N2 Yaounde-Bamenda,Train,469,28140,6.7,0,2,69,0
2015,9,N2 Yaounde-Bamenda,Avion,332,265600,0.7,0,0,0,41
2015,9,N3 Yaounde-Abong,Camion,233,34950,5.8,0,0,13,27
2015,9,N3 Yaounde-Abong,Taxi,464,139200,7.7,0,3,0,200
2015,9,N3 Yaounde-Abong,Bus,132,10560,2.6,0,0,0,74
2015,9,N3 Yaounde-Abong,Moto,251,25100,5.6,0,4,0,245
2015,9,N3 Yaounde-Abong,Train,283,16980,4.0,0,3,89,8
2015,9,N3 Yaounde-Abong,Avion,169,135200,0.3,0,0,0,33
2015,9,N4 Maroua-Kousseri,Camion,127,19050,3.2,0,2,38,47
2015,9,N4 Maroua-Kousseri,Taxi,372,111600,6.2,1,4,0,186
2015,9,N4 Maroua-Kousseri,Bus,275,22000,5.5,0,2,0,274
2015,9,N4 Maroua-Kousseri,Moto,363,36300,8.1,0,4,0,121
2015,9,N4 Maroua-Kousseri,Train,256,15360,3.7,0,2,57,5
2015,9,N4 Maroua-Kousseri,Avion,220,176000,0.4,0,0,0,35
2015,9,N5 Bafoussam-Douala,Camion,105,15750,2.6,0,1,25,11
2015,9,N5 Bafoussam-Douala,Taxi,119,35700,2.0,0,6,0,197
2015,9,N5 Bafoussam-Douala,Bus,447,35760,8.9,0,2,0,169
2015,9,N5 Bafoussam-Douala,Moto,354,35400,7.9,0,2,0,44
2015,9,N5 Bafoussam-Douala,Train,151,9060,2.2,1,0,43,49
2015,9,N5 Bafoussam-Douala,Avion,390,312000,0.8,0,0,0,17
2015,9,N6 Limbe-Kumba,Camion,198,29700,5.0,0,1,60,26
2015,9,N6 Limbe-Kumba,Taxi,329,98700,5.5,0,2,0,178
2015,9,N6 Limbe-Kumba,Bus,125,10000,2.5,0,1,0,364
2015,9,N6 Limbe-Kumba,Moto,465,46500,10.3,0,1,0,445
2015,9,N6 Limbe-Kumba,Train,258,15480,3.7,1,4,59,44
2015,9,N6 Limbe-Kumba,Avion,423,338400,0.8,0,0,0,40
2015,10,N1 Douala-Yaounde,Camion,135,20250,3.4,0,0,93,39
2015,10,N1 Douala-Yaounde,Taxi,357,107100,6.0,0,4,0,146
2015,10,N1 Douala-Yaounde,Bus,202,16160,4.0,1,4,0,174
2015,10,N1 Douala-Yaounde,Moto,280,28000,6.2,0,2,0,362
2015,10,N1 Douala-Yaounde,Train,412,24720,5.9,0,1,15,45
2015,10,N1 Douala-Yaounde,Avion,159,127200,0.3,0,0,0,0
2015,10,N2 Yaounde-Bamenda,Camion,251,37650,6.3,0,2,37,0
2015,10,N2 Yaounde-Bamenda,Taxi,171,51300,2.9,0,0,0,64
2015,10,N2 Yaounde-Bamenda,Bus,403,32240,8.1,0,0,0,190
2015,10,N2 Yaounde-Bamenda,Moto,248,24800,5.5,0,1,0,56
2015,10,N2 Yaounde-Bamenda,Train,145,8700,2.1,0,3,54,9
2015,10,N2 Yaounde-Bamenda,Avion,374,299200,0.7,0,0,0,0
2015,10,N3 Yaounde-Abong,Camion,140,21000,3.5,0,1,78,0
2015,10,N3 Yaounde-Abong,Taxi,394,118200,6.6,0,1,0,255
2015,10,N3 Yaounde-Abong,Bus,492,39360,9.8,0,2,0,260
2015,10,N3 Yaounde-Abong,Moto,243,24300,5.4,0,1,0,226
2015,10,N3 Yaounde-Abong,Train,318,19080,4.5,0,1,76,22
2015,10,N3 Yaounde-Abong,Avion,262,209600,0.5,0,0,0,35
2015,10,N4 Maroua-Kousseri,Camion,478,71700,11.9,0,0,30,46
2015,10,N4 Maroua-Kousseri,Taxi,161,48300,2.7,0,2,0,349
2015,10,N4 Maroua-Kousseri,Bus,420,33600,8.4,0,1,0,252
2015,10,N4 Maroua-Kousseri,Moto,186,18600,4.1,0,1,0,272
2015,10,N4 Maroua-Kousseri,Train,266,15960,3.8,0,0,19,0
2015,10,N4 Maroua-Kousseri,Avion,454,363200,0.9,1,0,0,9
2015,10,N5 Bafoussam-Douala,Camion,277,41550,6.9,0,3,29,43
