region,annee,mois,type_crime,cas_signales,cas_elucides,personnes_arretees
Adamaoua,2018,3,Fraude,11,6,3
Adamaoua,2018,4,Vol,54,25,11
Adamaoua,2018,4,Agression,37,19,15
Adamaoua,2018,4,Cambriolage,16,8,7
Adamaoua,2018,4,Homicide,1,0,0
Adamaoua,2018,4,Cybercriminalite,4,2,1
Adamaoua,2018,4,Fraude,9,4,3
Adamaoua,2018,5,Vol,47,17,19
Adamaoua,2018,5,Agression,27,10,9
Adamaoua,2018,5,Cambriolage,22,11,10
Adamaoua,2018,5,Homicide,1,0,0
Adamaoua,2018,5,Cybercriminalite,5,1,2
Adamaoua,2018,5,Fraude,7,3,2
Adamaoua,2018,6,Vol,52,24,16
Adamaoua,2018,6,Agression,29,8,10
Adamaoua,2018,6,Cambriolage,23,11,8
Adamaoua,2018,6,Homicide,1,0,0
Adamaoua,2018,6,Cybercriminalite,5,2,2
Adamaoua,2018,6,Fraude,8,2,2
Adamaoua,2018,7,Vol,60,25,21
Adamaoua,2018,7,Agression,24,9,7
Adamaoua,2018,7,Cambriolage,24,9,10
Adamaoua,2018,7,Homicide,1,0,0
Adamaoua,2018,7,Cybercriminalite,5,2,2
Adamaoua,2018,7,Fraude,7,3,2
Adamaoua,2018,8,Vol,38,11,11
Adamaoua,2018,8,Agression,36,13,15
Adamaoua,2018,8,Cambriolage,24,14,11
Adamaoua,2018,8,Homicide,2,0,0
Adamaoua,2018,8,Cybercriminalite,5,1,1
Adamaoua,2018,8,Fraude,12,5,2
Adamaoua,2018,9,Vol,45,14,13
Adamaoua,2018,9,Agression,25,14,9
Adamaoua,2018,9,Cambriolage,14,4,4
Adamaoua,2018,9,Homicide,1,0,0
Adamaoua,2018,9,Cybercriminalite,5,2,1
Adamaoua,2018,9,Fraude,9,4,2
Adamaoua,2018,10,Vol,64,32,15
Adamaoua,2018,10,Agression,33,13,6
Adamaoua,2018,10,Cambriolage,18,8,7
Adamaoua,2018,10,Homicide,2,1,0
Adamaoua,2018,10,Cybercriminalite,6,3,1
Adamaoua,2018,10,Fraude,10,5,2
Adamaoua,2018,11,Vol,40,15,12
Adamaoua,2018,11,Agression,38,22,11
Adamaoua,2018,11,Cambriolage,23,8,7
Adamaoua,2018,11,Homicide,1,0,0
Adamaoua,2018,11,Cybercriminalite,5,2,2
Adamaoua,2018,11,Fraude,12,4,4
Adamaoua,2018,12,Vol,37,19,13
Adamaoua,2018,12,Agression,35,10,10
Adamaoua,2018,12,Cambriolage,21,10,6
Adamaoua,2018,12,Homicide,2,0,0
Adamaoua,2018,12,Cybercriminalite,6,2,2
Adamaoua,2018,12,Fraude,10,4,3
Adamaoua,2019,1,Vol,41,12,16
Adamaoua,2019,1,Agression,23,7,4
Adamaoua,2019,1,Cambriolage,18,6,8
Adamaoua,2019,1,Homicide,1,0,0
Adamaoua,2019,1,Cybercriminalite,5,2,1
Adamaoua,2019,1,Fraude,8,4,2
Adamaoua,2019,2,Vol,39,14,15
Adamaoua,2019,2,Agression,34,16,7
Adamaoua,2019,2,Cambriolage,18,9,8
Adamaoua,2019,2,Homicide,1,0,0
Adamaoua,2019,2,Cybercriminalite,3,0,1
Adamaoua,2019,2,Fraude,7,3,2
Adamaoua,2019,3,Vol,41,17,16
Adamaoua,2019,3,Agression,23,8,6
Adamaoua,2019,3,Cambriolage,17,8,5
Adamaoua,2019,3,Homicide,2,0,0
Adamaoua,2019,3,Cybercriminalite,5,2,1
Adamaoua,2019,3,Fraude,12,5,2
Adamaoua,2019,4,Vol,56,19,15
Adamaoua,2019,4,Agression,29,11,8
Adamaoua,2019,4,Cambriolage,17,8,7
Adamaoua,2019,4,Homicide,2,0,0
Adamaoua,2019,4,Cybercriminalite,4,1,1
Adamaoua,2019,4,Fraude,8,4,1
Adamaoua,2019,5,Vol,50,15,15
Adamaoua,2019,5,Agression,21,9,9
Adamaoua,2019,5,Cambriolage,19,9,8
Adamaoua,2019,5,Homicide,1,0,0
Adamaoua,2019,5,Cybercriminalite,6,1,2
Adamaoua,2019,5,Fraude,11,5,5
Adamaoua,2019,6,Vol,40,16,10
Adamaoua,2019,6,Agression,24,7,10
Adamaoua,2019,6,Cambriolage,18,10,5
Adamaoua,2019,6,Homicide,2,0,0
Adamaoua,2019,6,Cybercriminalite,5,1,1
Adamaoua,2019,6,Fraude,12,5,5
Adamaoua,2019,7,Vol,57,20,24
Adamaoua,2019,7,Agression,37,14,8
Adamaoua,2019,7,Cambriolage,23,6,11
Adamaoua,2019,7,Homicide,2,0,0
Adamaoua,2019,7,Cybercriminalite,3,1,1
Adamaoua,2019,7,Fraude,8,4,3
Adamaoua,2019,8,Vol,50,23,18
Adamaoua,2019,8,Agression,37,19,7
Adamaoua,2019,8,Cambriolage,22,10,6
Adamaoua,2019,8,Homicide,1,0,0
Adamaoua,2019,8,Cybercriminalite,4,2,0
Adamaoua,2019,8,Fraude,12,7,2
Adamaoua,2019,9,Vol,64,20,13
Adamaoua,2019,9,Agression,24,9,7
Adamaoua,2019,9,Cambriolage,21,11,7
Adamaoua,2019,9,Homicide,1,0,0
Adamaoua,2019,9,Cybercriminalite,4,2,1
Adamaoua,2019,9,Fraude,10,5,3
Adamaoua,2019,10,Vol,38,16,14
Adamaoua,2019,10,Agression,31,14,10
Adamaoua,2019,10,Cambriolage,21,10,4
Adamaoua,2019,10,Homicide,1,0,0
Adamaoua,2019,10,Cybercriminalite,3,1,1
Adamaoua,2019,10,Fraude,9,4,4
Adamaoua,2019,11,Vol,51,27,24
Adamaoua,2019,11,Agression,24,12,5
Adamaoua,2019,11,Cambriolage,15,8,5
Adamaoua,2019,11,Homicide,1,0,0
Adamaoua,2019,11,Cybercriminalite,5,1,1
Adamaoua,2019,11,Fraude,7,3,3
Adamaoua,2019,12,Vol,63,30,28
Adamaoua,2019,12,Agression,28,9,11
Adamaoua,2019,12,Cambriolage,22,9,8
Adamaoua,2019,12,Homicide,2,1,0
Adamaoua,2019,12,Cybercriminalite,4,1,0
Adamaoua,2019,12,Fraude,11,6,5
Adamaoua,2020,1,Vol,53,28,16
Adamaoua,2020,1,Agression,36,13,16
Adamaoua,2020,1,Cambriolage,17,8,5
Adamaoua,2020,1,Homicide,1,0,0
Adamaoua,2020,1,Cybercriminalite,5,2,2
Adamaoua,2020,1,Fraude,10,4,4
Adamaoua,2020,2,Vol,50,20,22
Adamaoua,2020,2,Agression,28,13,9
Adamaoua,2020,2,Cambriolage,19,8,4
Adamaoua,2020,2,Homicide,2,0,0
Adamaoua,2020,2,Cybercriminalite,3,1,1
Adamaoua,2020,2,Fraude,12,5,4
Adamaoua,2020,3,Vol,49,23,15
Adamaoua,2020,3,Agression,24,13,8
Adamaoua,2020,3,Cambriolage,21,7,4
Adamaoua,2020,3,Homicide,1,0,0
Adamaoua,2020,3,Cybercriminalite,3,1,1
Adamaoua,2020,3,Fraude,12,4,5
Adamaoua,2020,4,Vol,60,33,26
Adamaoua,2020,4,Agression,31,13,10
Adamaoua,2020,4,Cambriolage,20,7,7
Adamaoua,2020,4,Homicide,1,0,0
Adamaoua,2020,4,Cybercriminalite,4,1,1
Adamaoua,2020,4,Fraude,8,3,2
Adamaoua,2020,5,Vol,52,20,19
Adamaoua,2020,5,Agression,26,9,6
Adamaoua,2020,5,Cambriolage,20,7,7
Adamaoua,2020,5,Homicide,1,0,0
Adamaoua,2020,5,Cybercriminalite,5,2,1
Adamaoua,2020,5,Fraude,8,2,3
Adamaoua,2020,6,Vol,35,14,14
Adamaoua,2020,6,Agression,30,12,7
Adamaoua,2020,6,Cambriolage,24,8,5
Adamaoua,2020,6,Homicide,1,0,0
Adamaoua,2020,6,Cybercriminalite,5,1,2
Adamaoua,2020,6,Fraude,7,2,2
Adamaoua,2020,7,Vol,61,21,16
Adamaoua,2020,7,Agression,34,12,9
Adamaoua,2020,7,Cambriolage,16,8,5
Adamaoua,2020,7,Homicide,1,0,0
Adamaoua,2020,7,Cybercriminalite,5,2,2
Adamaoua,2020,7,Fraude,12,6,3
Adamaoua,2020,8,Vol,61,33,29
Adamaoua,2020,8,Agression,35,17,10
Adamaoua,2020,8,Cambriolage,22,9,8
Adamaoua,2020,8,Homicide,1,0,0
Adamaoua,2020,8,Cybercriminalite,6,2,2
Adamaoua,2020,8,Fraude,12,5,3
Adamaoua,2020,9,Vol,49,27,23
Adamaoua,2020,9,Agression,34,18,16
Adamaoua,2020,9,Cambriolage,25,13,11
Adamaoua,2020,9,Homicide,2,1,0
Adamaoua,2020,9,Cybercriminalite,5,2,2
Adamaoua,2020,9,Fraude,8,4,1
Adamaoua,2020,10,Vol,40,16,18
Adamaoua,2020,10,Agression,33,11,8
Adamaoua,2020,10,Cambriolage,25,8,6
Adamaoua,2020,10,Homicide,1,0,0
Adamaoua,2020,10,Cybercriminalite,4,2,1
Adamaoua,2020,10,Fraude,10,5,2
Adamaoua,2020,11,Vol,63,28,28
Adamaoua,2020,11,Agression,24,13,11
Adamaoua,2020,11,Cambriolage,24,9,6
Adamaoua,2020,11,Homicide,1,0,0
Adamaoua,2020,11,Cybercriminalite,5,2,1
Adamaoua,2020,11,Fraude,12,6,4
Adamaoua,2020,12,Vol,42,23,13
Adamaoua,2020,12,Agression,38,17,12
Adamaoua,2020,12,Cambriolage,21,8,5
Adamaoua,2020,12,Homicide,2,0,0
Adamaoua,2020,12,Cybercriminalite,4,2,1
Adamaoua,2020,12,Fraude,9,4,2
Adamaoua,2021,1,Vol,44,19,14
Adamaoua,2021,1,Agression,34,16,12
Adamaoua,2021,1,Cambriolage,19,10,4
Adamaoua,2021,1,Homicide,1,0,0
Adamaoua,2021,1,Cybercriminalite,4,1,1
Adamaoua,2021,1,Fraude,8,2,3
Adamaoua,2021,2,Vol,58,33,15
Adamaoua,2021,2,Agression,25,14,8
Adamaoua,2021,2,Cambriolage,21,9,7
Adamaoua,2021,2,Homicide,2,0,0
Adamaoua,2021,2,Cybercriminalite,4,2,1
Adamaoua,2021,2,Fraude,12,3,2
Adamaoua,2021,3,Vol,49,14,11
Adamaoua,2021,3,Agression,30,15,9
Adamaoua,2021,3,Cambriolage,17,5,3
Adamaoua,2021,3,Homicide,1,0,0
Adamaoua,2021,3,Cybercriminalite,3,1,1
Adamaoua,2021,3,Fraude,9,3,4
Adamaoua,2021,4,Vol,56,30,19
Adamaoua,2021,4,Agression,28,13,10
Adamaoua,2021,4,Cambriolage,20,9,6
Adamaoua,2021,4,Homicide,1,0,0
Adamaoua,2021,4,Cybercriminalite,5,2,2
Adamaoua,2021,4,Fraude,11,6,3
Adamaoua,2021,5,Vol,53,22,18
Adamaoua,2021,5,Agression,29,9,10
Adamaoua,2021,5,Cambriolage,17,9,6
Adamaoua,2021,5,Homicide,2,0,0
Adamaoua,2021,5,Cybercriminalite,3,1,0
Adamaoua,2021,5,Fraude,10,5,4
Adamaoua,2021,6,Vol,37,15,7
Adamaoua,2021,6,Agression,29,14,6
Adamaoua,2021,6,Cambriolage,15,6,6
Adamaoua,2021,6,Homicide,1,0,0
Adamaoua,2021,6,Cybercriminalite,4,2,1
Adamaoua,2021,6,Fraude,11,3,2
Adamaoua,2021,7,Vol,58,22,25
Adamaoua,2021,7,Agression,34,13,9
Adamaoua,2021,7,Cambriolage,17,6,7
Adamaoua,2021,7,Homicide,2,0,0
Adamaoua,2021,7,Cybercriminalite,3,1,1
Adamaoua,2021,7,Fraude,12,4,5
Adamaoua,2021,8,Vol,53,28,20
Adamaoua,2021,8,Agression,35,16,8
Adamaoua,2021,8,Cambriolage,18,6,3
Adamaoua,2021,8,Homicide,2,0,0
Adamaoua,2021,8,Cybercriminalite,5,2,1
Adamaoua,2021,8,Fraude,11,3,2
Adamaoua,2021,9,Vol,48,27,16
Adamaoua,2021,9,Agression,37,12,10
Adamaoua,2021,9,Cambriolage,19,8,6
Adamaoua,2021,9,Homicide,1,0,0
Adamaoua,2021,9,Cybercriminalite,3,1,1
Adamaoua,2021,9,Fraude,8,2,3
Adamaoua,2021,10,Vol,54,23,13
Adamaoua,2021,10,Agression,27,13,5
Adamaoua,2021,10,Cambriolage,14,4,4
Adamaoua,2021,10,Homicide,1,0,0
Adamaoua,2021,10,Cybercriminalite,5,1,1
Adamaoua,2021,10,Fraude,12,5,3
Adamaoua,2021,11,Vol,54,29,16
Adamaoua,2021,11,Agression,22,11,7
Adamaoua,2021,11,Cambriolage,19,10,8
Adamaoua,2021,11,Homicide,2,0,0
Adamaoua,2021,11,Cybercriminalite,6,2,2
Adamaoua,2021,11,Fraude,11,5,2
Adamaoua,2021,12,Vol,53,31,13
Adamaoua,2021,12,Agression,24,13,9
Adamaoua,2021,12,Cambriolage,17,7,5
Adamaoua,2021,12,Homicide,1,0,0
Adamaoua,2021,12,Cybercriminalite,6,3,2
Adamaoua,2021,12,Fraude,11,5,2
Adamaoua,2022,1,Vol,52,29,15
Adamaoua,2022,1,Agression,24,11,5
Adamaoua,2022,1,Cambriolage,20,7,9
Adamaoua,2022,1,Homicide,2,0,0
Adamaoua,2022,1,Cybercriminalite,4,1,1
Adamaoua,2022,1,Fraude,11,5,3
Adamaoua,2022,2,Vol,50,17,21
Adamaoua,2022,2,Agression,21,10,5
Adamaoua,2022,2,Cambriolage,20,6,5
Adamaoua,2022,2,Homicide,1,0,0
Adamaoua,2022,2,Cybercriminalite,3,1,0
Adamaoua,2022,2,Fraude,7,3,2
Adamaoua,2022,3,Vol,52,30,24
Adamaoua,2022,3,Agression,38,14,13
Adamaoua,2022,3,Cambriolage,16,9,4
Adamaoua,2022,3,Homicide,2,0,0
Adamaoua,2022,3,Cybercriminalite,5,2,1
Adamaoua,2022,3,Fraude,10,3,3
Adamaoua,2022,4,Vol,62,30,20
Adamaoua,2022,4,Agression,38,17,13
Adamaoua,2022,4,Cambriolage,14,6,3
Adamaoua,2022,4,Homicide,1,0,0
Adamaoua,2022,4,Cybercriminalite,3,1,1
Adamaoua,2022,4,Fraude,12,6,3
Adamaoua,2022,5,Vol,50,18,15
Adamaoua,2022,5,Agression,25,8,10
Adamaoua,2022,5,Cambriolage,22,7,6
Adamaoua,2022,5,Homicide,1,0,0
Adamaoua,2022,5,Cybercriminalite,4,1,1
Adamaoua,2022,5,Fraude,7,3,3
Adamaoua,2022,6,Vol,36,14,10
Adamaoua,2022,6,Agression,30,15,12
Adamaoua,2022,6,Cambriolage,17,8,5
Adamaoua,2022,6,Homicide,2,0,0
Adamaoua,2022,6,Cybercriminalite,6,2,2
Adamaoua,2022,6,Fraude,9,4,3
Adamaoua,2022,7,Vol,51,15,23
Adamaoua,2022,7,Agression,22,11,8
Adamaoua,2022,7,Cambriolage,16,6,3
Adamaoua,2022,7,Homicide,2,0,0
Adamaoua,2022,7,Cybercriminalite,5,1,1
Adamaoua,2022,7,Fraude,12,6,4
Adamaoua,2022,8,Vol,55,27,22
Adamaoua,2022,8,Agression,33,18,14
Adamaoua,2022,8,Cambriolage,20,11,9
Adamaoua,2022,8,Homicide,2,1,0
Adamaoua,2022,8,Cybercriminalite,3,1,0
Adamaoua,2022,8,Fraude,10,3,3
Adamaoua,2022,9,Vol,39,17,18
Adamaoua,2022,9,Agression,25,13,5
Adamaoua,2022,9,Cambriolage,24,11,11
Adamaoua,2022,9,Homicide,2,0,0
Adamaoua,2022,9,Cybercriminalite,3,1,1
Adamaoua,2022,9,Fraude,7,3,2
Adamaoua,2022,10,Vol,53,19,23
Adamaoua,2022,10,Agression,37,12,8
Adamaoua,2022,10,Cambriolage,15,6,4
Adamaoua,2022,10,Homicide,2,0,0
Adamaoua,2022,10,Cybercriminalite,5,2,2
Adamaoua,2022,10,Fraude,10,4,4
Adamaoua,2022,11,Vol,60,28,27
Adamaoua,2022,11,Agression,24,13,11
Adamaoua,2022,11,Cambriolage,24,7,10
Adamaoua,2022,11,Homicide,2,0,0
Adamaoua,2022,11,Cybercriminalite,4,1,1
Adamaoua,2022,11,Fraude,7,2,3
Adamaoua,2022,12,Vol,54,19,12
Adamaoua,2022,12,Agression,37,14,16
Adamaoua,2022,12,Cambriolage,22,12,5
Adamaoua,2022,12,Homicide,1,0,0
Adamaoua,2022,12,Cybercriminalite,4,2,1
Adamaoua,2022,12,Fraude,10,4,4
Adamaoua,2023,1,Vol,58,28,12
Adamaoua,2023,1,Agression,22,8,7
Adamaoua,2023,1,Cambriolage,25,12,11
Adamaoua,2023,1,Homicide,1,0,0
Adamaoua,2023,1,Cybercriminalite,6,3,2
Adamaoua,2023,1,Fraude,12,6,4
Adamaoua,2023,2,Vol,37,21,8
Adamaoua,2023,2,Agression,35,17,9
Adamaoua,2023,2,Cambriolage,18,6,5
Adamaoua,2023,2,Homicide,2,0,0
Adamaoua,2023,2,Cybercriminalite,4,2,1
Adamaoua,2023,2,Fraude,7,4,1
